Tue 20 Aug 2024, 04:58PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
2.45, 0, Clicked: RED, x=234,  y=635,  DARK_RED: x=233,  y=633,  dx=0.028568043891255696,  dy=0.09583249380156654,  clicks=1,  score=1, ORANGE: x=753,  y=494,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=562,  y=235,  dx=-0.045379358020579595,  dy=-0.08911068322956603,  clicks=0,  score=0,
2.645, 1, Clicked: RED, x=239,  y=653,  DARK_RED: x=240,  y=656,  dx=0.028568043891255696,  dy=0.09583249380156654,  clicks=2,  score=2, ORANGE: x=751,  y=470,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=551,  y=214,  dx=-0.045379358020579595,  dy=-0.08911068322956603,  clicks=0,  score=0,
2.796, 2, Clicked: RED, x=264,  y=680,  DARK_RED: x=245,  y=673,  dx=0.028568043891255696,  dy=0.09583249380156654,  clicks=3,  score=3, ORANGE: x=750,  y=452,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=543,  y=197,  dx=-0.045379358020579595,  dy=-0.08911068322956603,  clicks=0,  score=0,
3.023, 3, Clicked: RED, x=270,  y=705,  DARK_RED: x=253,  y=700,  dx=0.028568043891255696,  dy=0.09583249380156654,  clicks=4,  score=4, ORANGE: x=748,  y=424,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=530,  y=173,  dx=-0.045379358020579595,  dy=-0.08911068322956603,  clicks=0,  score=0,
3.154, 4, Clicked: RED, x=290,  y=726,  DARK_RED: x=258,  y=715,  dx=0.028568043891255696,  dy=0.09583249380156654,  clicks=5,  score=5, ORANGE: x=747,  y=408,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=523,  y=160,  dx=-0.045379358020579595,  dy=0.08911068322956603,  clicks=0,  score=0,
3.284, 5, Clicked: RED, x=292,  y=730,  DARK_RED: x=262,  y=731,  dx=0.028568043891255696,  dy=0.09583249380156654,  clicks=6,  score=6, ORANGE: x=746,  y=392,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=516,  y=174,  dx=-0.045379358020579595,  dy=0.08911068322956603,  clicks=0,  score=0,
3.418, 6, Clicked: RED, x=297,  y=738,  DARK_RED: x=267,  y=734,  dx=0.028568043891255696,  dy=-0.09583249380156654,  clicks=7,  score=7, ORANGE: x=745,  y=376,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=508,  y=188,  dx=-0.045379358020579595,  dy=0.08911068322956603,  clicks=0,  score=0,
3.553, 7, Clicked: RED, x=297,  y=738,  DARK_RED: x=271,  y=718,  dx=0.028568043891255696,  dy=-0.09583249380156654,  clicks=8,  score=8, ORANGE: x=744,  y=360,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=501,  y=202,  dx=-0.045379358020579595,  dy=0.08911068322956603,  clicks=0,  score=0,
3.67, 8, Clicked: RED, x=297,  y=738,  DARK_RED: x=275,  y=705,  dx=0.028568043891255696,  dy=-0.09583249380156654,  clicks=9,  score=9, ORANGE: x=743,  y=346,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=495,  y=215,  dx=-0.045379358020579595,  dy=0.08911068322956603,  clicks=0,  score=0,
3.769, 9, Clicked: RED, x=297,  y=738,  DARK_RED: x=279,  y=694,  dx=0.028568043891255696,  dy=-0.09583249380156654,  clicks=10,  score=9, ORANGE: x=742,  y=334,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=0,  score=0, YELLOW: x=489,  y=225,  dx=-0.045379358020579595,  dy=0.08911068322956603,  clicks=0,  score=0,
4.431, 9, Clicked: ORANGE, x=738,  y=246,  RED: x=302,  y=617,  dx=0.028568043891255696,  dy=-0.09583249380156654,  clicks=10,  score=9, DARK_ORANGE: x=737,  y=255,  dx=-0.006505972230971959,  dy=-0.09978813719741352,  clicks=1,  score=0, YELLOW: x=453,  y=297,  dx=-0.045379358020579595,  dy=0.08911068322956603,  clicks=0,  score=0,
