Fri 26 Jan 2024, 07:38PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, Unknown Color x=546 y=243 dx=0.03882817180086571 dy=-0.09215407247974697 clicks=0 score=0, Unknown Color x=505 y=176 dx=-0.09735636857237555 dy=0.022841573903734577 clicks=0 score=0,  Unknown Color: x=505,  y=176,  dx=-0.09735636857237555,  dy=0.022841573903734577,  clicks=0,  score=0,Unknown Color x=231 y=108 dx=0.09467615852344961 dy=0.03219355536815778 clicks=0 score=0, Unknown Color x=577 y=700 dx=0.08615084267889117 dy=-0.05077432723056942 clicks=0 score=0, 
0.8410000000000011, 0, Clicked: Unknown Color, x=631,  y=614,  Unknown Color: x=566,  y=197,  dx=0.03882817180086571,  dy=-0.09215407247974697,  clicks=0,  score=0, Unknown Color: x=279,  y=175,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=0,  score=0, Unknown Color: x=620,  y=595,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=1,  score=1,
1.6430000000000007, 1, Clicked: Unknown Color, x=610,  y=200,  Unknown Color: x=584,  y=165,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=1,  score=1, Unknown Color: x=324,  y=190,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=0,  score=0, Unknown Color: x=662,  y=571,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=1,  score=1,
2.578000000000001, 2, Clicked: Unknown Color, x=428,  y=233,  Unknown Color: x=606,  y=217,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=1,  score=1, Unknown Color: x=377,  y=208,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=710,  y=542,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=1,  score=1,
3.181000000000001, 3, Clicked: Unknown Color, x=586,  y=250,  Unknown Color: x=620,  y=250,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=2,  score=2, Unknown Color: x=411,  y=220,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=741,  y=524,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=1,  score=1,
3.3160000000000007, 4, Clicked: Unknown Color, x=586,  y=250,  Unknown Color: x=623,  y=257,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=3,  score=2, Unknown Color: x=419,  y=223,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=748,  y=520,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=1,  score=1,
3.4160000000000004, 4, Clicked: Unknown Color, x=586,  y=250,  Unknown Color: x=626,  y=263,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=4,  score=2, Unknown Color: x=424,  y=225,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=753,  y=517,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=1,  score=1,
3.9860000000000007, 4, Clicked: Unknown Color, x=809,  y=481,  Unknown Color: x=639,  y=294,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=4,  score=2, Unknown Color: x=457,  y=235,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=782,  y=500,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=2,  score=2,
4.120000000000001, 5, Clicked: Unknown Color, x=809,  y=481,  Unknown Color: x=642,  y=301,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=4,  score=2, Unknown Color: x=464,  y=238,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=789,  y=496,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=3,  score=2,
4.255000000000001, 5, Clicked: Unknown Color, x=809,  y=481,  Unknown Color: x=645,  y=309,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=4,  score=2, Unknown Color: x=472,  y=241,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=796,  y=492,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=4,  score=2,
5.157000000000002, 5, Clicked: Unknown Color, x=686,  y=392,  Unknown Color: x=666,  y=359,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=5,  score=3, Unknown Color: x=523,  y=258,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=1,  score=1, Unknown Color: x=843,  y=464,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=4,  score=2,
5.894, 6, Clicked: Unknown Color, x=585,  y=284,  Unknown Color: x=683,  y=399,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=5,  score=3, Unknown Color: x=565,  y=272,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=2,  score=2, Unknown Color: x=880,  y=442,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=4,  score=2,
6.628000000000002, 7, Clicked: Unknown Color, x=721,  y=450,  Unknown Color: x=700,  y=440,  dx=0.03882817180086571,  dy=0.09215407247974697,  clicks=6,  score=4, Unknown Color: x=606,  y=286,  dx=0.09467615852344961,  dy=0.03219355536815778,  clicks=2,  score=2, Unknown Color: x=918,  y=419,  dx=0.08615084267889117,  dy=-0.05077432723056942,  clicks=4,  score=2,
