Mon 15 Jan 2024, 11:09PM
################# Phase 1 ######################
################# INIT particles ######################
4.125, Init stimuli, 0, RED x=1842 y=296 dx=0.11571252589398219 dy=0.10886839377055373 clicks=0 score=0, ORANGE x=154 y=679 dx=0.11383536834008003 dy=0.11579290383824718 clicks=0 score=0, YELLOW x=122 y=273 dx=0.11681256747924049 dy=0.1057645701206743 clicks=0 score=0,  RED: x=1842,  y=296,  dx=0.11571252589398219,  dy=0.10886839377055373,  clicks=0,  score=0, ORANGE: x=154,  y=679,  dx=0.11383536834008003,  dy=0.11579290383824718,  clicks=0,  score=0, YELLOW: x=122,  y=273,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=0,  score=0,
0.976, 0, Clicked: RED, x=1652,  y=394,  RED: x=1623,  y=427,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=1,  score=1, ORANGE: x=294,  y=818,  dx=0.11383536834008003,  dy=0.11579290383824718,  clicks=0,  score=0, YELLOW: x=297,  y=399,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=0,  score=0,
1.1390000000000002, 1, Clicked: RED, x=1614,  y=458,  RED: x=1600,  y=449,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=2,  score=2, ORANGE: x=317,  y=841,  dx=0.11383536834008003,  dy=0.11579290383824718,  clicks=0,  score=0, YELLOW: x=321,  y=421,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=0,  score=0,
1.2850000000000001, 2, Clicked: RED, x=1614,  y=458,  RED: x=1579,  y=468,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=3,  score=3, ORANGE: x=337,  y=862,  dx=0.11383536834008003,  dy=0.11579290383824718,  clicks=0,  score=0, YELLOW: x=342,  y=440,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=0,  score=0,
1.4010000000000007, 3, Clicked: RED, x=1580,  y=504,  RED: x=1563,  y=484,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=353,  y=878,  dx=0.11383536834008003,  dy=0.11579290383824718,  clicks=0,  score=0, YELLOW: x=358,  y=454,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=0,  score=0,
2.0380000000000003, 4, Clicked: YELLOW, x=424,  y=533,  RED: x=1473,  y=569,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=442,  y=871,  dx=0.11383536834008003,  dy=-0.11579290383824718,  clicks=0,  score=0, YELLOW: x=449,  y=537,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=1,  score=0,
2.154, 4, Clicked: YELLOW, x=431,  y=535,  RED: x=1456,  y=584,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=458,  y=855,  dx=0.11383536834008003,  dy=-0.11579290383824718,  clicks=0,  score=0, YELLOW: x=466,  y=552,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=2,  score=0,
2.298, 4, Clicked: None, x=552, y=621,  RED: x=1436,  y=603,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=478,  y=834,  dx=0.11383536834008003,  dy=-0.11579290383824718,  clicks=0,  score=0, YELLOW: x=487,  y=571,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=2,  score=0,
2.4960000000000004, 4, Clicked: YELLOW, x=528,  y=619,  RED: x=1408,  y=630,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=506,  y=806,  dx=0.11383536834008003,  dy=-0.11579290383824718,  clicks=0,  score=0, YELLOW: x=515,  y=596,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=3,  score=0,
2.6450000000000005, 4, Clicked: YELLOW, x=536,  y=623,  RED: x=1387,  y=649,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=526,  y=785,  dx=0.11383536834008003,  dy=-0.11579290383824718,  clicks=0,  score=0, YELLOW: x=536,  y=615,  dx=0.11681256747924049,  dy=0.1057645701206743,  clicks=4,  score=0,
2.891, 4, Clicked: ORANGE, x=526,  y=764,  RED: x=1352,  y=682,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=559,  y=764,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=1,  score=0, YELLOW: x=572,  y=634,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
3.0200000000000005, 4, Clicked: ORANGE, x=572,  y=770,  RED: x=1334,  y=699,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=574,  y=780,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=2,  score=0, YELLOW: x=594,  y=616,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
3.2, 4, Clicked: ORANGE, x=579,  y=793,  RED: x=1308,  y=723,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=595,  y=803,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=3,  score=0, YELLOW: x=624,  y=591,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
3.298, 4, Clicked: ORANGE, x=596,  y=815,  RED: x=1294,  y=736,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=606,  y=816,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=4,  score=0, YELLOW: x=640,  y=577,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
3.4450000000000003, 4, Clicked: ORANGE, x=646,  y=847,  RED: x=1274,  y=756,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=623,  y=834,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=5,  score=1, YELLOW: x=664,  y=556,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
3.941, 5, Clicked: None, x=1132, y=866,  RED: x=1204,  y=821,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=4,  score=4, ORANGE: x=680,  y=896,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=5,  score=1, YELLOW: x=746,  y=488,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.102000000000001, 5, Clicked: RED, x=1132,  y=868,  RED: x=1181,  y=843,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=5,  score=4, ORANGE: x=699,  y=917,  dx=0.09446166776058099,  dy=0.10379258351973018,  clicks=5,  score=1, YELLOW: x=773,  y=465,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.250000000000001, 5, Clicked: RED, x=1132,  y=868,  RED: x=1160,  y=863,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=6,  score=4, ORANGE: x=716,  y=905,  dx=0.09446166776058099,  dy=-0.10379258351973018,  clicks=5,  score=1, YELLOW: x=798,  y=445,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
4.481000000000001, 5, Clicked: RED, x=1132,  y=868,  RED: x=1128,  y=893,  dx=-0.11571252589398219,  dy=0.10886839377055373,  clicks=7,  score=4, ORANGE: x=742,  y=876,  dx=0.09446166776058099,  dy=-0.10379258351973018,  clicks=5,  score=1, YELLOW: x=836,  y=413,  dx=0.13618626805873954,  dy=-0.11382091723730306,  clicks=4,  score=0,
