Fri 26 Jan 2024, 07:10PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=132 y=507 dx=0.09849980664486119 dy=-0.01725653762853256 clicks=0 score=0, ORANGE x=452 y=421 dx=0.052998743081346306 dy=0.08480054971400508 clicks=0 score=0, YELLOW x=252 y=455 dx=0.08514405184465922 dy=0.05244511831881005 clicks=0 score=0, 
0.008999999999999453, 0, Clicked: None, x=709, y=401,  RED: x=132,  y=507,  dx=0.09849980664486119,  dy=-0.01725653762853256,  clicks=0,  score=0, ORANGE: x=452,  y=421,  dx=0.052998743081346306,  dy=0.08480054971400508,  clicks=0,  score=0, YELLOW: x=252,  y=455,  dx=0.08514405184465922,  dy=0.05244511831881005,  clicks=0,  score=0,
4.972999999999999, 0, Clicked: YELLOW, x=477,  y=320,  RED: x=378,  y=397,  dx=0.10934370039575456,  dy=-0.027984924169218075,  clicks=0,  score=0, ORANGE: x=571,  y=270,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=0,  score=0, DARK_YELLOW: x=442,  y=327,  dx=0.07430015809376586,  dy=-0.04171673177812454,  clicks=1,  score=1,
5.106, 1, Clicked: YELLOW, x=477,  y=318,  RED: x=387,  y=395,  dx=0.10954053619214528,  dy=-0.028510160251427816,  clicks=0,  score=0, ORANGE: x=575,  y=263,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=0,  score=0, DARK_YELLOW: x=449,  y=324,  dx=0.07410332229737514,  dy=-0.0411914956959148,  clicks=2,  score=1,
5.238999999999999, 1, Clicked: YELLOW, x=477,  y=316,  RED: x=395,  y=393,  dx=0.10972163139553757,  dy=-0.02904102916189827,  clicks=0,  score=0, ORANGE: x=579,  y=256,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=0,  score=0, DARK_YELLOW: x=455,  y=320,  dx=0.07392222709398284,  dy=-0.04066062678544435,  clicks=3,  score=1,
5.539, 1, Clicked: ORANGE, x=571,  y=227,  RED: x=414,  y=389,  dx=0.10230859979948931,  dy=-0.019224477152177465,  clicks=0,  score=0, DARK_ORANGE: x=589,  y=241,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=1,  score=1, YELLOW: x=469,  y=312,  dx=0.08133525869003111,  dy=-0.050477178795165153,  clicks=3,  score=1,
5.641, 2, Clicked: ORANGE, x=571,  y=226,  RED: x=421,  y=387,  dx=0.11016893542297679,  dy=-0.030662694306235867,  clicks=0,  score=0, DARK_ORANGE: x=592,  y=236,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=2,  score=1, YELLOW: x=474,  y=309,  dx=0.07347492306654363,  dy=-0.039038961641106755,  clicks=3,  score=1,
6.206999999999999, 2, Clicked: RED, x=514,  y=380,  DARK_RED: x=457,  y=378,  dx=0.10451258404402478,  dy=-0.020954771695513574,  clicks=1,  score=1, ORANGE: x=610,  y=207,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=2,  score=1, YELLOW: x=500,  y=294,  dx=0.07913127444549564,  dy=-0.04874688425182906,  clicks=3,  score=1,
6.34, 3, Clicked: RED, x=514,  y=380,  DARK_RED: x=466,  y=376,  dx=0.10492107936267016,  dy=-0.021339152818151783,  clicks=2,  score=1, ORANGE: x=614,  y=200,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=2,  score=1, YELLOW: x=506,  y=291,  dx=0.07872277912685026,  dy=-0.048362503129190854,  clicks=3,  score=1,
6.4399999999999995, 3, Clicked: RED, x=514,  y=379,  DARK_RED: x=472,  y=375,  dx=0.11062133259112912,  dy=-0.033993195686290965,  clicks=3,  score=1, ORANGE: x=617,  y=195,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=2,  score=1, YELLOW: x=510,  y=288,  dx=0.0730225258983913,  dy=-0.03570846026105167,  clicks=3,  score=1,
6.574, 3, Clicked: RED, x=513,  y=378,  DARK_RED: x=481,  y=372,  dx=0.11063854150562528,  dy=-0.03455383917912545,  clicks=4,  score=1, ORANGE: x=622,  y=188,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=2,  score=1, YELLOW: x=516,  y=285,  dx=0.07300531698389513,  dy=-0.03514781676821718,  clicks=3,  score=1,
6.741999999999999, 3, Clicked: YELLOW, x=549,  y=263,  RED: x=492,  y=369,  dx=0.10607534477743118,  dy=-0.022562897107458,  clicks=4,  score=1, ORANGE: x=627,  y=180,  dx=0.052998743081346306,  dy=-0.08480054971400508,  clicks=2,  score=1, DARK_YELLOW: x=524,  y=281,  dx=0.07756851371208924,  dy=-0.047138758839884644,  clicks=4,  score=2,
