Wed 28 Aug 2024, 09:59PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
2.031, 0, Clicked: YELLOW, x=1651,  y=351,  RED: x=1081,  y=828,  dx=0.0762213493560385,  dy=-0.06473257219008627,  clicks=0,  score=0, ORANGE: x=1304,  y=731,  dx=-0.06476202093493108,  dy=0.07619632959942067,  clicks=0,  score=0, DARK_YELLOW: x=1662,  y=363,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=1,  score=1,
2.163, 1, Clicked: YELLOW, x=1647,  y=348,  RED: x=1093,  y=817,  dx=0.0762213493560385,  dy=-0.06473257219008627,  clicks=0,  score=0, ORANGE: x=1293,  y=743,  dx=-0.06476202093493108,  dy=0.07619632959942067,  clicks=0,  score=0, DARK_YELLOW: x=1648,  y=354,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=2,  score=2,
2.43, 2, Clicked: YELLOW, x=1619,  y=334,  RED: x=1118,  y=797,  dx=0.0762213493560385,  dy=-0.06473257219008627,  clicks=0,  score=0, ORANGE: x=1273,  y=768,  dx=-0.06476202093493108,  dy=0.07619632959942067,  clicks=0,  score=0, DARK_YELLOW: x=1621,  y=337,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=3,  score=3,
2.547, 3, Clicked: YELLOW, x=1601,  y=321,  RED: x=1129,  y=787,  dx=0.0762213493560385,  dy=-0.06473257219008627,  clicks=0,  score=0, ORANGE: x=1263,  y=778,  dx=-0.06476202093493108,  dy=0.07619632959942067,  clicks=0,  score=0, DARK_YELLOW: x=1610,  y=329,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=4,  score=4,
2.748, 4, Clicked: YELLOW, x=1570,  y=304,  RED: x=1131,  y=771,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1264,  y=798,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1589,  y=316,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=5,  score=5,
2.897, 5, Clicked: YELLOW, x=1551,  y=297,  RED: x=1121,  y=758,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1276,  y=813,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1574,  y=306,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=6,  score=6,
3.129, 6, Clicked: YELLOW, x=1516,  y=276,  RED: x=1106,  y=737,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1294,  y=837,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1551,  y=291,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=7,  score=7,
3.259, 7, Clicked: YELLOW, x=1502,  y=271,  RED: x=1097,  y=725,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1305,  y=850,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1537,  y=283,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=8,  score=8,
3.52, 8, Clicked: YELLOW, x=1467,  y=252,  RED: x=1080,  y=702,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1326,  y=877,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1510,  y=265,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=9,  score=9,
3.651, 9, Clicked: YELLOW, x=1461,  y=248,  RED: x=1071,  y=690,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1337,  y=891,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1497,  y=257,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=10,  score=10,
3.782, 10, Clicked: YELLOW, x=1430,  y=230,  RED: x=1062,  y=678,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1347,  y=905,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1483,  y=248,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=11,  score=11,
3.916, 11, Clicked: YELLOW, x=1420,  y=225,  RED: x=1053,  y=667,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1358,  y=918,  dx=0.06633104425312761,  dy=0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1470,  y=240,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=12,  score=12,
4.03, 12, Clicked: None, x=1401, y=214,  RED: x=1045,  y=656,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1367,  y=909,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=1458,  y=232,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=12,  score=12,
4.16, 12, Clicked: YELLOW, x=1394,  y=209,  RED: x=1037,  y=645,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=0,  score=0, ORANGE: x=1378,  y=896,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, DARK_YELLOW: x=1445,  y=223,  dx=-0.0841638437807009,  dy=-0.05400414243424088,  clicks=13,  score=13,
5.706, 13, Clicked: RED, x=937,  y=514,  DARK_RED: x=935,  y=508,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=1,  score=0, ORANGE: x=1501,  y=738,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=1288,  y=195,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
6.284, 13, Clicked: RED, x=888,  y=465,  DARK_RED: x=896,  y=457,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=2,  score=0, ORANGE: x=1548,  y=678,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=1229,  y=233,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
6.96, 13, Clicked: RED, x=846,  y=392,  DARK_RED: x=851,  y=397,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=3,  score=0, ORANGE: x=1602,  y=609,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=1160,  y=277,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
7.627, 13, Clicked: RED, x=789,  y=302,  DARK_RED: x=807,  y=338,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=4,  score=0, ORANGE: x=1655,  y=541,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=1093,  y=320,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
8.212, 13, Clicked: RED, x=765,  y=262,  DARK_RED: x=768,  y=285,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=5,  score=0, ORANGE: x=1703,  y=480,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=1032,  y=359,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
8.795, 13, Clicked: RED, x=739,  y=201,  DARK_RED: x=729,  y=234,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=6,  score=0, ORANGE: x=1749,  y=421,  dx=0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=973,  y=397,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
9.138, 13, Clicked: RED, x=710,  y=200,  DARK_RED: x=706,  y=203,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=7,  score=0, ORANGE: x=1742,  y=385,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=938,  y=420,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
9.448, 13, Clicked: RED, x=667,  y=192,  DARK_RED: x=686,  y=175,  dx=-0.05487171583202019,  dy=-0.0733995894447663,  clicks=8,  score=0, ORANGE: x=1717,  y=353,  dx=-0.06633104425312761,  dy=-0.0848633468541007,  clicks=0,  score=0, YELLOW: x=906,  y=440,  dx=-0.0841638437807009,  dy=0.05400414243424088,  clicks=13,  score=13,
