Mon 15 Jan 2024, 11:10PM
################# Phase 1 ######################
################# INIT particles ######################
2.962, Init stimuli, 0, RED x=1592 y=534 dx=0.1117348724218911 dy=0.11795919687719791 clicks=0 score=0, ORANGE x=654 y=401 dx=0.11232195040067088 dy=0.11695501244298843 clicks=0 score=0, YELLOW x=311 y=313 dx=0.1133468334354059 dy=0.11272374694983729 clicks=0 score=0,  RED: x=1592,  y=534,  dx=0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=654,  y=401,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=0,  score=0, YELLOW: x=311,  y=313,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
0.9020000000000001, 0, Clicked: ORANGE, x=765,  y=547,  RED: x=1715,  y=664,  dx=0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=778,  y=530,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=1,  score=1, YELLOW: x=436,  y=437,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
1.049, 1, Clicked: ORANGE, x=765,  y=547,  RED: x=1736,  y=685,  dx=0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=798,  y=551,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=2,  score=2, YELLOW: x=456,  y=458,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
1.214, 2, Clicked: ORANGE, x=827,  y=587,  RED: x=1758,  y=709,  dx=0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=820,  y=574,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=3,  score=3, YELLOW: x=479,  y=480,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
1.3780000000000006, 3, Clicked: ORANGE, x=827,  y=587,  RED: x=1739,  y=733,  dx=-0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=843,  y=598,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=4,  score=4, YELLOW: x=502,  y=503,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
1.5080000000000005, 4, Clicked: ORANGE, x=830,  y=593,  RED: x=1722,  y=751,  dx=-0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=861,  y=616,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=520,  y=521,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
1.6380000000000003, 5, Clicked: None, x=827, y=600,  RED: x=1704,  y=770,  dx=-0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=879,  y=635,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=538,  y=539,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
1.9289999999999998, 5, Clicked: None, x=514, y=566,  RED: x=1663,  y=813,  dx=-0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=919,  y=677,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=579,  y=579,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
2.2050000000000005, 5, Clicked: None, x=608, y=682,  RED: x=1625,  y=853,  dx=-0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=957,  y=717,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=617,  y=618,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=0,  score=0,
2.353, 5, Clicked: YELLOW, x=662,  y=686,  RED: x=1605,  y=874,  dx=-0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=978,  y=738,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=638,  y=638,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=1,  score=0,
2.5000000000000004, 5, Clicked: YELLOW, x=662,  y=686,  RED: x=1585,  y=895,  dx=-0.1117348724218911,  dy=0.11795919687719791,  clicks=0,  score=0, ORANGE: x=998,  y=759,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=658,  y=658,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=2,  score=0,
2.7260000000000004, 5, Clicked: YELLOW, x=669,  y=686,  RED: x=1554,  y=912,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=0,  score=0, ORANGE: x=1029,  y=792,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=690,  y=690,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=3,  score=0,
2.8569999999999998, 5, Clicked: YELLOW, x=684,  y=688,  RED: x=1536,  y=894,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=0,  score=0, ORANGE: x=1047,  y=810,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=708,  y=708,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=4,  score=0,
3.2660000000000005, 5, Clicked: YELLOW, x=783,  y=771,  RED: x=1480,  y=835,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=0,  score=0, ORANGE: x=1103,  y=869,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=765,  y=764,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=5,  score=0,
3.4120000000000004, 5, Clicked: YELLOW, x=786,  y=782,  RED: x=1460,  y=813,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=0,  score=0, ORANGE: x=1124,  y=890,  dx=0.11232195040067088,  dy=0.11695501244298843,  clicks=5,  score=5, YELLOW: x=785,  y=784,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=6,  score=0,
4.02, 5, Clicked: RED, x=1360,  y=717,  RED: x=1377,  y=726,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=1,  score=1, ORANGE: x=1207,  y=863,  dx=0.11232195040067088,  dy=-0.11695501244298843,  clicks=5,  score=5, YELLOW: x=869,  y=868,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=6,  score=0,
4.183, 6, Clicked: RED, x=1356,  y=712,  RED: x=1355,  y=702,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=2,  score=2, ORANGE: x=1229,  y=840,  dx=0.11232195040067088,  dy=-0.11695501244298843,  clicks=5,  score=5, YELLOW: x=892,  y=890,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=6,  score=0,
4.3149999999999995, 7, Clicked: RED, x=1331,  y=679,  RED: x=1337,  y=684,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=3,  score=3, ORANGE: x=1247,  y=821,  dx=0.11232195040067088,  dy=-0.11695501244298843,  clicks=5,  score=5, YELLOW: x=910,  y=908,  dx=0.1133468334354059,  dy=0.11272374694983729,  clicks=6,  score=0,
4.577999999999999, 8, Clicked: RED, x=1277,  y=628,  RED: x=1301,  y=646,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=4,  score=4, ORANGE: x=1283,  y=784,  dx=0.11232195040067088,  dy=-0.11695501244298843,  clicks=5,  score=5, YELLOW: x=946,  y=895,  dx=0.1133468334354059,  dy=-0.11272374694983729,  clicks=6,  score=0,
4.739000000000001, 9, Clicked: RED, x=1267,  y=617,  RED: x=1279,  y=622,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=5,  score=5, ORANGE: x=1306,  y=760,  dx=0.11232195040067088,  dy=-0.11695501244298843,  clicks=5,  score=5, YELLOW: x=969,  y=872,  dx=0.1133468334354059,  dy=-0.11272374694983729,  clicks=6,  score=0,
4.855, 10, Clicked: RED, x=1231,  y=591,  RED: x=1263,  y=606,  dx=-0.1117348724218911,  dy=-0.11795919687719791,  clicks=6,  score=6, ORANGE: x=1321,  y=744,  dx=0.11232195040067088,  dy=-0.11695501244298843,  clicks=5,  score=5, YELLOW: x=985,  y=856,  dx=0.1133468334354059,  dy=-0.11272374694983729,  clicks=6,  score=0,
################# Phase 2 ######################
################# INIT particles ######################
7.981, Init stimuli, 11, RED x=1196 y=692 dx=0.11395548029908407 dy=0.11992751335902152 clicks=0 score=0, ORANGE x=1042 y=824 dx=0.11055433987137069 dy=0.11257098933222823 clicks=0 score=0, YELLOW x=168 y=705 dx=0.11190466199616954 dy=0.10316595724098408 clicks=0 score=0,  RED: x=1196,  y=692,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1042,  y=824,  dx=0.11055433987137069,  dy=0.11257098933222823,  clicks=0,  score=0, YELLOW: x=168,  y=705,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
5.661999999999999, 0, Clicked: None, x=1189, y=955,  RED: x=1285,  y=786,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1129,  y=912,  dx=0.11055433987137069,  dy=0.11257098933222823,  clicks=0,  score=0, YELLOW: x=256,  y=785,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
5.9079999999999995, 0, Clicked: ORANGE, x=1186,  y=928,  RED: x=1319,  y=822,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1162,  y=895,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=1,  score=1, YELLOW: x=289,  y=816,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.121, 1, Clicked: ORANGE, x=1177,  y=883,  RED: x=1349,  y=853,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1190,  y=865,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=2,  score=2, YELLOW: x=318,  y=843,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
6.350999999999999, 2, Clicked: ORANGE, x=1191,  y=847,  RED: x=1381,  y=887,  dx=0.11395548029908407,  dy=0.11992751335902152,  clicks=0,  score=0, ORANGE: x=1221,  y=834,  dx=0.11055433987137069,  dy=-0.11257098933222823,  clicks=3,  score=3, YELLOW: x=350,  y=872,  dx=0.11190466199616954,  dy=0.10316595724098408,  clicks=0,  score=0,
