Fri 27 Sep 2024, 12:26AM
################# Phase 1 ######################
################# INIT balls ######################
2.841, 0, Clicked: RED, x=1220,  y=558, Clicked: None, x=1220, y=558, Clicked: None, x=1220, y=558,  DARK_RED: x=1247,  y=557,  dx=0.045119187870601596,  dy=0.0892426965409347,  clicks=1,  score=1, ORANGE: x=891,  y=465,  dx=-0.07431597533879285,  dy=-0.06691140268626818,  clicks=0,  score=0, YELLOW: x=716,  y=401,  dx=0.01947501520717472,  dy=-0.09808528830910533,  clicks=0,  score=0,
################# INIT balls ######################
134.382, 1, Clicked: None, x=999, y=504, Clicked: None, x=999, y=504, Clicked: YELLOW, x=999,  y=504,  RED: x=268,  y=375,  dx=-0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, ORANGE: x=548,  y=202,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=0,  score=0, DARK_YELLOW: x=1009,  y=500,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=1,  score=10,
134.814, 11, Clicked: None, x=990, y=487, Clicked: None, x=990, y=487, Clicked: YELLOW, x=990,  y=487,  RED: x=224,  y=346,  dx=-0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, ORANGE: x=596,  y=223,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=0,  score=0, DARK_YELLOW: x=963,  y=475,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=2,  score=20,
135.014, 21, Clicked: None, x=968, y=469, Clicked: None, x=968, y=469, Clicked: YELLOW, x=968,  y=469,  RED: x=204,  y=333,  dx=-0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, ORANGE: x=618,  y=232,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=0,  score=0, DARK_YELLOW: x=942,  y=464,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=3,  score=30,
135.162, 31, Clicked: None, x=953, y=455, Clicked: None, x=953, y=455, Clicked: YELLOW, x=953,  y=455,  RED: x=189,  y=324,  dx=-0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, ORANGE: x=634,  y=239,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=0,  score=0, DARK_YELLOW: x=926,  y=455,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=4,  score=40,
135.31, 41, Clicked: None, x=926, y=438, Clicked: None, x=926, y=438, Clicked: YELLOW, x=926,  y=438,  RED: x=174,  y=314,  dx=-0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, ORANGE: x=651,  y=246,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=0,  score=0, DARK_YELLOW: x=910,  y=447,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=5,  score=50,
135.423, 51, Clicked: None, x=917, y=433, Clicked: None, x=917, y=433, Clicked: YELLOW, x=917,  y=433,  RED: x=162,  y=306,  dx=-0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, ORANGE: x=664,  y=252,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=0,  score=0, DARK_YELLOW: x=898,  y=440,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=6,  score=60,
135.934, 61, Clicked: None, x=690, y=255, Clicked: ORANGE, x=690,  y=255, Clicked: None, x=690, y=255,  RED: x=208,  y=273,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=721,  y=277,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=1,  score=-10, YELLOW: x=843,  y=411,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=6,  score=60,
136.163, 51, Clicked: None, x=720, y=276, Clicked: ORANGE, x=720,  y=276, Clicked: None, x=720, y=276,  RED: x=232,  y=257,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=746,  y=288,  dx=0.09184989180986752,  dy=0.03954234912743088,  clicks=2,  score=-20, YELLOW: x=819,  y=397,  dx=-0.0879277607500813,  dy=-0.047630965657610415,  clicks=6,  score=60,
136.324, 41, Clicked: None, x=728, y=285, Clicked: ORANGE, x=728,  y=285, Clicked: None, x=728, y=285,  RED: x=248,  y=247,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=755,  y=278,  dx=0.011119273052061451,  dy=-0.10352257236145046,  clicks=3,  score=-30, YELLOW: x=811,  y=405,  dx=-0.0071971419922752244,  dy=0.09543395583127093,  clicks=6,  score=60,
136.424, 31, Clicked: None, x=762, y=311, Clicked: ORANGE, x=762,  y=311, Clicked: None, x=762, y=311,  RED: x=259,  y=240,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=756,  y=266,  dx=0.011119273052061451,  dy=-0.10352257236145046,  clicks=4,  score=-40, YELLOW: x=810,  y=416,  dx=-0.0071971419922752244,  dy=0.09543395583127093,  clicks=6,  score=60,
136.803, 21, Clicked: None, x=769, y=240, Clicked: ORANGE, x=769,  y=240, Clicked: None, x=769, y=240,  RED: x=297,  y=215,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=762,  y=218,  dx=0.011119273052061451,  dy=-0.10352257236145046,  clicks=5,  score=-50, YELLOW: x=807,  y=460,  dx=-0.0071971419922752244,  dy=0.09543395583127093,  clicks=6,  score=60,
137.102, 11, Clicked: None, x=774, y=206, Clicked: ORANGE, x=774,  y=206, Clicked: None, x=774, y=206,  RED: x=327,  y=195,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=766,  y=181,  dx=0.011119273052061451,  dy=-0.10352257236145046,  clicks=6,  score=-60, YELLOW: x=804,  y=495,  dx=-0.0071971419922752244,  dy=0.09543395583127093,  clicks=6,  score=60,
137.252, 1, Clicked: None, x=774, y=206, Clicked: ORANGE, x=774,  y=206, Clicked: None, x=774, y=206,  RED: x=343,  y=186,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=768,  y=162,  dx=0.011119273052061451,  dy=-0.10352257236145046,  clicks=7,  score=-70, YELLOW: x=803,  y=512,  dx=-0.0071971419922752244,  dy=0.09543395583127093,  clicks=6,  score=60,
137.369, -9, Clicked: None, x=774, y=205, Clicked: ORANGE, x=774,  y=205, Clicked: None, x=774, y=205,  RED: x=354,  y=178,  dx=0.08395561620201529,  dy=-0.054327290638682774,  clicks=0,  score=0, DARK_ORANGE: x=769,  y=170,  dx=0.011119273052061451,  dy=0.10352257236145046,  clicks=8,  score=-80, YELLOW: x=802,  y=525,  dx=-0.0071971419922752244,  dy=0.09543395583127093,  clicks=6,  score=60,
