Tue 20 Aug 2024, 05:21PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
################# INIT balls ######################
10.006, Init stimuli, 0, 
26.732, 0, Clicked: RED, x=191,  y=509,  DARK_RED: x=181,  y=511,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=1,  score=1, ORANGE: x=845,  y=656,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=0,  score=0, YELLOW: x=1233,  y=311,  dx=0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
26.879, 1, Clicked: RED, x=191,  y=508,  DARK_RED: x=184,  y=516,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=2,  score=2, ORANGE: x=841,  y=629,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=0,  score=0, YELLOW: x=1244,  y=319,  dx=0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
26.98, 2, Clicked: RED, x=191,  y=508,  DARK_RED: x=187,  y=519,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=3,  score=3, ORANGE: x=838,  y=611,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=0,  score=0, YELLOW: x=1251,  y=325,  dx=0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
27.109, 3, Clicked: RED, x=191,  y=508,  DARK_RED: x=190,  y=524,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, ORANGE: x=835,  y=587,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=0,  score=0, YELLOW: x=1261,  y=333,  dx=0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
27.852, 4, Clicked: ORANGE, x=839,  y=405,  RED: x=208,  y=548,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, DARK_ORANGE: x=814,  y=452,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=1,  score=1, YELLOW: x=1244,  y=376,  dx=-0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
28.003, 5, Clicked: ORANGE, x=839,  y=405,  RED: x=211,  y=553,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, DARK_ORANGE: x=810,  y=425,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=2,  score=2, YELLOW: x=1234,  y=384,  dx=-0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
28.231, 6, Clicked: ORANGE, x=840,  y=383,  RED: x=217,  y=561,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, DARK_ORANGE: x=803,  y=383,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=3,  score=3, YELLOW: x=1217,  y=397,  dx=-0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
28.494, 7, Clicked: ORANGE, x=844,  y=335,  RED: x=223,  y=569,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, DARK_ORANGE: x=796,  y=335,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=4,  score=4, YELLOW: x=1197,  y=413,  dx=-0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
28.66, 8, Clicked: None, x=851, y=284,  RED: x=227,  y=575,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, ORANGE: x=791,  y=305,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=4,  score=4, YELLOW: x=1185,  y=422,  dx=-0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
28.855, 8, Clicked: None, x=857, y=242,  RED: x=232,  y=581,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, ORANGE: x=786,  y=269,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=4,  score=4, YELLOW: x=1171,  y=434,  dx=-0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
29.021, 8, Clicked: None, x=861, y=221,  RED: x=236,  y=587,  dx=0.019816034609310612,  dy=0.02719453308368333,  clicks=4,  score=4, ORANGE: x=781,  y=239,  dx=-0.02303911259711089,  dy=-0.14970625051460135,  clicks=4,  score=4, YELLOW: x=1159,  y=443,  dx=-0.06049548947173773,  dy=0.047595333215505256,  clicks=0,  score=0,
