Tue 02 Jul 2024, 03:44PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=478 y=748 dx=-0.0016964775472377719 dy=-0.09998560878412312 clicks=0 score=0,  RED: x=478,  y=748,  dx=-0.0016964775472377719,  dy=-0.09998560878412312,  clicks=0,  score=0,ORANGE x=1536 y=71 dx=0.04270079915784432 dy=0.09042478504968338 clicks=0 score=0,  ORANGE: x=1536,  y=71,  dx=0.04270079915784432,  dy=0.09042478504968338,  clicks=0,  score=0,YELLOW x=1013 y=770 dx=-0.037421041824924416 dy=-0.09273438212840618 clicks=0 score=0,  YELLOW: x=1013,  y=770,  dx=-0.037421041824924416,  dy=-0.09273438212840618,  clicks=0,  score=0,
################# INIT balls ######################
1.002, Init stimuli, 0, RED x=751 y=253 dx=-0.07008574081692087 dy=0.07133014043266277 clicks=0 score=0,  RED: x=751,  y=253,  dx=-0.07008574081692087,  dy=0.07133014043266277,  clicks=0,  score=0,ORANGE x=139 y=616 dx=0.08087032384919954 dy=0.058821685801459224 clicks=0 score=0,  ORANGE: x=139,  y=616,  dx=0.08087032384919954,  dy=0.058821685801459224,  clicks=0,  score=0,YELLOW x=1517 y=795 dx=0.04557789504660077 dy=-0.08900929998107526 clicks=0 score=0,  YELLOW: x=1517,  y=795,  dx=0.04557789504660077,  dy=-0.08900929998107526,  clicks=0,  score=0,
1.067, 0, Clicked: RED, x=668,  y=371,  DARK_RED: x=661,  y=344,  dx=-0.07008574081692087,  dy=0.07133014043266277,  clicks=1,  score=1, ORANGE: x=261,  y=691,  dx=0.08087032384919954,  dy=0.058821685801459224,  clicks=0,  score=0, YELLOW: x=1576,  y=681,  dx=0.04557789504660077,  dy=-0.08900929998107526,  clicks=0,  score=0,
1.2340000000000002, 1, Clicked: RED, x=666,  y=373,  DARK_RED: x=647,  y=358,  dx=-0.07008574081692087,  dy=0.07133014043266277,  clicks=2,  score=2, ORANGE: x=278,  y=703,  dx=0.08087032384919954,  dy=0.058821685801459224,  clicks=0,  score=0, YELLOW: x=1585,  y=663,  dx=0.04557789504660077,  dy=-0.08900929998107526,  clicks=0,  score=0,
1.4520000000000002, 2, Clicked: RED, x=640,  y=405,  DARK_RED: x=629,  y=377,  dx=-0.07008574081692087,  dy=0.07133014043266277,  clicks=3,  score=3, ORANGE: x=299,  y=718,  dx=0.08087032384919954,  dy=0.058821685801459224,  clicks=0,  score=0, YELLOW: x=1597,  y=640,  dx=0.04557789504660077,  dy=-0.08900929998107526,  clicks=0,  score=0,
1.7859999999999998, 3, Clicked: RED, x=622,  y=428,  DARK_RED: x=601,  y=405,  dx=-0.07008574081692087,  dy=0.07133014043266277,  clicks=4,  score=4, ORANGE: x=331,  y=742,  dx=0.08087032384919954,  dy=0.058821685801459224,  clicks=0,  score=0, YELLOW: x=1615,  y=605,  dx=0.04557789504660077,  dy=-0.08900929998107526,  clicks=0,  score=0,
1.9989999999999999, 4, Clicked: RED, x=598,  y=456,  DARK_RED: x=583,  y=424,  dx=-0.07008574081692087,  dy=0.07133014043266277,  clicks=5,  score=5, ORANGE: x=352,  y=757,  dx=0.08087032384919954,  dy=0.058821685801459224,  clicks=0,  score=0, YELLOW: x=1627,  y=582,  dx=0.04557789504660077,  dy=-0.08900929998107526,  clicks=0,  score=0,
################# INIT balls ######################
2.0149999999999997, Init stimuli, 5, RED x=775 y=420 dx=-0.005533076347975164 dy=0.09984680799168033 clicks=0 score=0,  RED: x=775,  y=420,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=0,  score=0,ORANGE x=305 y=66 dx=-0.0056338187352066495 dy=0.09984117430428607 clicks=0 score=0,  ORANGE: x=305,  y=66,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0,YELLOW x=967 y=162 dx=-0.09398773549500912 dy=-0.03415121632563331 clicks=0 score=0,  YELLOW: x=967,  y=162,  dx=-0.09398773549500912,  dy=-0.03415121632563331,  clicks=0,  score=0,
1.1630000000000003, 5, Clicked: None, x=596, y=457,  RED: x=774,  y=437,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=0,  score=0, ORANGE: x=304,  y=175,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=950,  y=163,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
1.6610000000000005, 5, Clicked: RED, x=753,  y=504,  DARK_RED: x=771,  y=497,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=1,  score=1, ORANGE: x=300,  y=235,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=894,  y=183,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
1.8580000000000005, 6, Clicked: RED, x=754,  y=528,  DARK_RED: x=769,  y=521,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=2,  score=2, ORANGE: x=299,  y=259,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=871,  y=192,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
2.075, 7, Clicked: RED, x=758,  y=564,  DARK_RED: x=768,  y=547,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=3,  score=3, ORANGE: x=298,  y=285,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=847,  y=200,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
2.255, 8, Clicked: RED, x=760,  y=574,  DARK_RED: x=767,  y=569,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=4,  score=4, ORANGE: x=296,  y=307,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=826,  y=208,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
2.4050000000000002, 9, Clicked: RED, x=765,  y=620,  DARK_RED: x=766,  y=587,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=5,  score=5, ORANGE: x=295,  y=325,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=809,  y=214,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
2.5340000000000007, 10, Clicked: RED, x=765,  y=620,  DARK_RED: x=765,  y=603,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=6,  score=6, ORANGE: x=294,  y=341,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=794,  y=220,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
2.6830000000000007, 11, Clicked: RED, x=762,  y=655,  DARK_RED: x=764,  y=621,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=7,  score=7, ORANGE: x=293,  y=359,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=777,  y=226,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
2.931, 12, Clicked: RED, x=754,  y=706,  DARK_RED: x=762,  y=651,  dx=-0.005533076347975164,  dy=0.09984680799168033,  clicks=8,  score=8, ORANGE: x=292,  y=389,  dx=-0.0056338187352066495,  dy=0.09984117430428607,  clicks=0,  score=0, YELLOW: x=749,  y=236,  dx=-0.09398773549500912,  dy=0.03415121632563331,  clicks=0,  score=0,
