Tue 02 Jul 2024, 03:45PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=1070 y=832 dx=0.0031085086333695416 dy=-0.09995167419346346 clicks=0 score=0,  RED: x=1070,  y=832,  dx=0.0031085086333695416,  dy=-0.09995167419346346,  clicks=0,  score=0,ORANGE x=1180 y=593 dx=-0.022278714502402576 dy=0.09748671130015844 clicks=0 score=0,  ORANGE: x=1180,  y=593,  dx=-0.022278714502402576,  dy=0.09748671130015844,  clicks=0,  score=0,YELLOW x=915 y=245 dx=0.09948442818400362 dy=-0.010141427360180972 clicks=0 score=0,  YELLOW: x=915,  y=245,  dx=0.09948442818400362,  dy=-0.010141427360180972,  clicks=0,  score=0,
################# INIT balls ######################
1.004, Init stimuli, 0, RED x=1161 y=530 dx=0.016191545154998252 dy=-0.09868046344385323 clicks=0 score=0,  RED: x=1161,  y=530,  dx=0.016191545154998252,  dy=-0.09868046344385323,  clicks=0,  score=0,ORANGE x=145 y=461 dx=-0.097531531546006 dy=0.022081674626043143 clicks=0 score=0,  ORANGE: x=145,  y=461,  dx=-0.097531531546006,  dy=0.022081674626043143,  clicks=0,  score=0,YELLOW x=1334 y=284 dx=-0.07281304768044605 dy=-0.06854385521317785 clicks=0 score=0,  YELLOW: x=1334,  y=284,  dx=-0.07281304768044605,  dy=-0.06854385521317785,  clicks=0,  score=0,
0.867, 0, Clicked: RED, x=1151,  y=441,  DARK_RED: x=1177,  y=429,  dx=0.016191545154998252,  dy=-0.09868046344385323,  clicks=1,  score=1, ORANGE: x=257,  y=484,  dx=0.097531531546006,  dy=0.022081674626043143,  clicks=0,  score=0, YELLOW: x=1207,  y=214,  dx=-0.07281304768044605,  dy=-0.06854385521317785,  clicks=0,  score=0,
1.0, 1, Clicked: RED, x=1153,  y=438,  DARK_RED: x=1180,  y=413,  dx=0.016191545154998252,  dy=-0.09868046344385323,  clicks=2,  score=2, ORANGE: x=273,  y=487,  dx=0.097531531546006,  dy=0.022081674626043143,  clicks=0,  score=0, YELLOW: x=1195,  y=203,  dx=-0.07281304768044605,  dy=-0.06854385521317785,  clicks=0,  score=0,
1.116, 2, Clicked: RED, x=1155,  y=432,  DARK_RED: x=1182,  y=399,  dx=0.016191545154998252,  dy=-0.09868046344385323,  clicks=3,  score=3, ORANGE: x=286,  y=490,  dx=0.097531531546006,  dy=0.022081674626043143,  clicks=0,  score=0, YELLOW: x=1185,  y=193,  dx=-0.07281304768044605,  dy=-0.06854385521317785,  clicks=0,  score=0,
1.4500000000000002, 3, Clicked: YELLOW, x=1134,  y=213,  RED: x=1189,  y=360,  dx=0.016191545154998252,  dy=-0.09868046344385323,  clicks=3,  score=3, ORANGE: x=325,  y=499,  dx=0.097531531546006,  dy=0.022081674626043143,  clicks=0,  score=0, DARK_YELLOW: x=1156,  y=166,  dx=-0.07281304768044605,  dy=-0.06854385521317785,  clicks=1,  score=1,
1.766, 4, Clicked: YELLOW, x=1134,  y=213,  RED: x=1195,  y=322,  dx=0.016191545154998252,  dy=-0.09868046344385323,  clicks=3,  score=3, ORANGE: x=362,  y=508,  dx=0.097531531546006,  dy=0.022081674626043143,  clicks=0,  score=0, DARK_YELLOW: x=1128,  y=179,  dx=-0.07281304768044605,  dy=0.06854385521317785,  clicks=2,  score=2,
################# INIT balls ######################
2.017, Init stimuli, 5, RED x=209 y=74 dx=0.09592766876443318 dy=0.0282468115974386 clicks=0 score=0,  RED: x=209,  y=74,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0,ORANGE x=1348 y=528 dx=-0.08244287325704809 dy=0.056596578069016724 clicks=0 score=0,  ORANGE: x=1348,  y=528,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0,YELLOW x=214 y=784 dx=0.09472983575508946 dy=0.03203526522153009 clicks=0 score=0,  YELLOW: x=214,  y=784,  dx=0.09472983575508946,  dy=0.03203526522153009,  clicks=0,  score=0,
1.7360000000000002, 5, Clicked: YELLOW, x=326,  y=668,  RED: x=291,  y=183,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1210,  y=577,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=296,  y=713,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=1,  score=1,
1.8690000000000002, 6, Clicked: YELLOW, x=326,  y=668,  RED: x=307,  y=188,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1197,  y=586,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=311,  y=707,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=2,  score=2,
1.983, 7, Clicked: None, x=384, y=689,  RED: x=320,  y=192,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1186,  y=594,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, YELLOW: x=324,  y=703,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=2,  score=2,
2.1460000000000004, 7, Clicked: YELLOW, x=390,  y=686,  RED: x=339,  y=197,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1169,  y=605,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=343,  y=697,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=3,  score=3,
2.36, 8, Clicked: YELLOW, x=397,  y=681,  RED: x=364,  y=205,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1148,  y=620,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=368,  y=688,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=4,  score=4,
2.494, 9, Clicked: YELLOW, x=401,  y=679,  RED: x=380,  y=209,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1134,  y=629,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=383,  y=683,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=5,  score=5,
2.624, 10, Clicked: YELLOW, x=405,  y=676,  RED: x=395,  y=214,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1121,  y=638,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=398,  y=678,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=6,  score=6,
2.7420000000000004, 11, Clicked: YELLOW, x=408,  y=673,  RED: x=408,  y=218,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1110,  y=646,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=411,  y=674,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=7,  score=7,
2.858, 12, Clicked: YELLOW, x=411,  y=672,  RED: x=422,  y=222,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1098,  y=654,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=425,  y=669,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=8,  score=8,
2.991, 13, Clicked: YELLOW, x=416,  y=669,  RED: x=437,  y=226,  dx=0.09592766876443318,  dy=0.0282468115974386,  clicks=0,  score=0, ORANGE: x=1085,  y=663,  dx=-0.08244287325704809,  dy=0.056596578069016724,  clicks=0,  score=0, DARK_YELLOW: x=440,  y=664,  dx=0.09472983575508946,  dy=-0.03203526522153009,  clicks=9,  score=9,
