Tue 02 Jul 2024, 03:49PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=705 y=354 dx=0.07707627046159353 dy=0.06371223219862326 clicks=0 score=0,  RED: x=705,  y=354,  dx=0.07707627046159353,  dy=0.06371223219862326,  clicks=0,  score=0,ORANGE x=198 y=60 dx=0.026867960666149406 dy=-0.09632296034509243 clicks=0 score=0,  ORANGE: x=198,  y=60,  dx=0.026867960666149406,  dy=-0.09632296034509243,  clicks=0,  score=0,YELLOW x=352 y=210 dx=-0.08735192560811147 dy=0.048678959444044816 clicks=0 score=0,  YELLOW: x=352,  y=210,  dx=-0.08735192560811147,  dy=0.048678959444044816,  clicks=0,  score=0,
################# INIT balls ######################
1.013, Init stimuli, 0, RED x=510 y=525 dx=-0.025299065469644635 dy=-0.09674687223038601 clicks=0 score=0,  RED: x=510,  y=525,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=0,  score=0,ORANGE x=90 y=509 dx=0.022403993079920356 dy=-0.09745799656300597 clicks=0 score=0,  ORANGE: x=90,  y=509,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0,YELLOW x=1029 y=788 dx=-0.09998468861628261 dy=-0.0017498692251163381 clicks=0 score=0,  YELLOW: x=1029,  y=788,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=0,  score=0,
0.0990000000000002, 0, Clicked: None, x=348, y=326,  RED: x=507,  y=515,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=0,  score=0, ORANGE: x=161,  y=499,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, YELLOW: x=1019,  y=739,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=0,  score=0,
0.623, 0, Clicked: RED, x=498,  y=440,  DARK_RED: x=491,  y=453,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=1,  score=1, ORANGE: x=176,  y=437,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, YELLOW: x=955,  y=738,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=0,  score=0,
0.7530000000000001, 1, Clicked: RED, x=498,  y=440,  DARK_RED: x=487,  y=437,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=2,  score=2, ORANGE: x=179,  y=422,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, YELLOW: x=939,  y=738,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=0,  score=0,
0.9020000000000001, 2, Clicked: RED, x=498,  y=440,  DARK_RED: x=483,  y=420,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=3,  score=3, ORANGE: x=183,  y=404,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, YELLOW: x=921,  y=738,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=0,  score=0,
1.0030000000000001, 3, Clicked: RED, x=498,  y=440,  DARK_RED: x=480,  y=408,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=4,  score=4, ORANGE: x=186,  y=392,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, YELLOW: x=909,  y=737,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=0,  score=0,
1.661, 4, Clicked: YELLOW, x=803,  y=732,  RED: x=459,  y=331,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=4,  score=4, ORANGE: x=204,  y=314,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, DARK_YELLOW: x=829,  y=736,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=1,  score=1,
1.8250000000000002, 5, Clicked: YELLOW, x=803,  y=732,  RED: x=454,  y=312,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=4,  score=4, ORANGE: x=208,  y=295,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, DARK_YELLOW: x=809,  y=736,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=2,  score=2,
1.9690000000000003, 6, Clicked: YELLOW, x=803,  y=732,  RED: x=450,  y=294,  dx=-0.025299065469644635,  dy=-0.09674687223038601,  clicks=4,  score=4, ORANGE: x=212,  y=277,  dx=0.022403993079920356,  dy=-0.09745799656300597,  clicks=0,  score=0, DARK_YELLOW: x=791,  y=735,  dx=-0.09998468861628261,  dy=-0.0017498692251163381,  clicks=3,  score=3,
################# INIT balls ######################
2.0180000000000002, Init stimuli, 7, RED x=512 y=396 dx=0.03863728751029178 dy=-0.09223426702612783 clicks=0 score=0,  RED: x=512,  y=396,  dx=0.03863728751029178,  dy=-0.09223426702612783,  clicks=0,  score=0,ORANGE x=223 y=664 dx=0.0856004440841272 dy=-0.051696846834214286 clicks=0 score=0,  ORANGE: x=223,  y=664,  dx=0.0856004440841272,  dy=-0.051696846834214286,  clicks=0,  score=0,YELLOW x=962 y=257 dx=0.04038161349289727 dy=0.09148401659148038 clicks=0 score=0,  YELLOW: x=962,  y=257,  dx=0.04038161349289727,  dy=0.09148401659148038,  clicks=0,  score=0,
1.0629999999999997, 7, Clicked: None, x=803, y=732,  RED: x=514,  y=392,  dx=0.03863728751029178,  dy=-0.09223426702612783,  clicks=0,  score=0, ORANGE: x=226,  y=662,  dx=0.0856004440841272,  dy=-0.051696846834214286,  clicks=0,  score=0, YELLOW: x=964,  y=260,  dx=0.04038161349289727,  dy=0.09148401659148038,  clicks=0,  score=0,
