Tue 02 Jul 2024, 03:53PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=681 y=259 dx=-0.08859009238489668 dy=-0.04638745014802465 clicks=0 score=0,  RED: x=681,  y=259,  dx=-0.08859009238489668,  dy=-0.04638745014802465,  clicks=0,  score=0,ORANGE x=1334 y=145 dx=0.061307495659009115 dy=0.07900247449302192 clicks=0 score=0,  ORANGE: x=1334,  y=145,  dx=0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0,YELLOW x=343 y=621 dx=0.08662183323260902 dy=-0.04996656889783479 clicks=0 score=0,  YELLOW: x=343,  y=621,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=0,  score=0,
2.73, 0, Clicked: YELLOW, x=645,  y=464,  RED: x=407,  y=203,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1091,  y=403,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=611,  y=466,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=1,  score=1,
2.861, 1, Clicked: YELLOW, x=645,  y=464,  RED: x=393,  y=211,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1081,  y=415,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=625,  y=458,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=2,  score=2,
3.009, 2, Clicked: YELLOW, x=645,  y=464,  RED: x=377,  y=219,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1070,  y=430,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=641,  y=449,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=3,  score=3,
3.125, 3, Clicked: YELLOW, x=645,  y=463,  RED: x=364,  y=225,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1061,  y=441,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=653,  y=442,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=4,  score=4,
3.456, 4, Clicked: None, x=752, y=398,  RED: x=329,  y=244,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1037,  y=472,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, YELLOW: x=687,  y=422,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=4,  score=4,
3.654, 4, Clicked: YELLOW, x=752,  y=398,  RED: x=308,  y=255,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1022,  y=491,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=708,  y=410,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=5,  score=5,
3.787, 5, Clicked: YELLOW, x=752,  y=398,  RED: x=293,  y=262,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1012,  y=504,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=722,  y=402,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=6,  score=6,
3.933, 6, Clicked: YELLOW, x=752,  y=398,  RED: x=277,  y=271,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=1001,  y=518,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=738,  y=393,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=7,  score=7,
4.143, 7, Clicked: YELLOW, x=752,  y=398,  RED: x=254,  y=283,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=985,  y=539,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, DARK_YELLOW: x=760,  y=380,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
4.637, 8, Clicked: None, x=907, y=635,  RED: x=201,  y=311,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, ORANGE: x=948,  y=586,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=0,  score=0, YELLOW: x=812,  y=350,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
4.783, 8, Clicked: ORANGE, x=907,  y=635,  RED: x=185,  y=319,  dx=-0.08859009238489668,  dy=0.04638745014802465,  clicks=0,  score=0, DARK_ORANGE: x=937,  y=600,  dx=-0.061307495659009115,  dy=0.07900247449302192,  clicks=1,  score=1, YELLOW: x=828,  y=341,  dx=0.08662183323260902,  dy=-0.04996656889783479,  clicks=8,  score=8,
