Sun 30 Jun 2024, 05:06PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=493 y=705 dx=0.05313795697810694 dy=-0.08471338458704655 clicks=0 score=0, ORANGE x=1072 y=63 dx=0.0899299394863225 dy=0.043733350934800054 clicks=0 score=0, YELLOW x=1141 y=174 dx=0.07647693208343959 dy=0.06443041874072346 clicks=0 score=0, 
################# INIT balls ######################
1.005, Init stimuli, 0, RED x=504 y=117 dx=0.08487633743712361 dy=0.05287728570245951 clicks=0 score=0, ORANGE x=207 y=621 dx=-0.08153525175377707 dy=-0.05789648280723271 clicks=0 score=0, YELLOW x=375 y=692 dx=-0.001217060215547787 dy=-0.099992593547881 clicks=0 score=0, 
0.08400000000000007, 0, Clicked: None, x=554, y=591,  RED: x=511,  y=163,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=200,  y=617,  dx=-0.08153525175377707,  dy=-0.05789648280723271,  clicks=0,  score=0, YELLOW: x=374,  y=684,  dx=-0.001217060215547787,  dy=-0.099992593547881,  clicks=0,  score=0,
0.21700000000000008, 0, Clicked: None, x=556, y=589,  RED: x=524,  y=171,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=187,  y=607,  dx=-0.08153525175377707,  dy=-0.05789648280723271,  clicks=0,  score=0, YELLOW: x=374,  y=668,  dx=-0.001217060215547787,  dy=-0.099992593547881,  clicks=0,  score=0,
0.7210000000000001, 0, Clicked: YELLOW, x=408,  y=589,  RED: x=577,  y=204,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=181,  y=571,  dx=0.08153525175377707,  dy=-0.05789648280723271,  clicks=0,  score=0, DARK_YELLOW: x=373,  y=606,  dx=-0.001217060215547787,  dy=-0.099992593547881,  clicks=1,  score=1,
0.8690000000000002, 1, Clicked: YELLOW, x=408,  y=588,  RED: x=592,  y=213,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=195,  y=561,  dx=0.08153525175377707,  dy=-0.05789648280723271,  clicks=0,  score=0, DARK_YELLOW: x=373,  y=588,  dx=-0.001217060215547787,  dy=-0.099992593547881,  clicks=2,  score=2,
1.1020000000000003, 2, Clicked: YELLOW, x=404,  y=581,  RED: x=616,  y=228,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=218,  y=545,  dx=0.08153525175377707,  dy=-0.05789648280723271,  clicks=0,  score=0, DARK_YELLOW: x=373,  y=560,  dx=-0.001217060215547787,  dy=-0.099992593547881,  clicks=3,  score=3,
1.314, 3, Clicked: YELLOW, x=386,  y=528,  RED: x=638,  y=242,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=239,  y=530,  dx=0.08153525175377707,  dy=-0.05789648280723271,  clicks=0,  score=0, DARK_YELLOW: x=373,  y=534,  dx=-0.001217060215547787,  dy=-0.099992593547881,  clicks=4,  score=4,
1.444, 4, Clicked: YELLOW, x=384,  y=522,  RED: x=652,  y=250,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=252,  y=521,  dx=0.08153525175377707,  dy=-0.05789648280723271,  clicks=0,  score=0, DARK_YELLOW: x=372,  y=518,  dx=-0.001217060215547787,  dy=-0.099992593547881,  clicks=5,  score=5,
1.56, 5, Clicked: YELLOW, x=385,  y=514,  RED: x=664,  y=258,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=254,  y=513,  dx=0.00023617710863350905,  dy=-0.05525556427474804,  clicks=0,  score=0, DARK_YELLOW: x=382,  y=503,  dx=0.08008201442959578,  dy=-0.10263351208036567,  clicks=6,  score=6,
1.6920000000000002, 6, Clicked: YELLOW, x=386,  y=508,  RED: x=677,  y=266,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=254,  y=504,  dx=0.00023617710863350905,  dy=-0.05525556427474804,  clicks=0,  score=0, DARK_YELLOW: x=395,  y=487,  dx=0.08008201442959578,  dy=-0.10263351208036567,  clicks=7,  score=7,
1.807, 7, Clicked: YELLOW, x=386,  y=501,  RED: x=689,  y=274,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=254,  y=496,  dx=0.00023617710863350905,  dy=-0.05525556427474804,  clicks=0,  score=0, DARK_YELLOW: x=406,  y=472,  dx=0.08008201442959578,  dy=-0.10263351208036567,  clicks=8,  score=8,
1.9050000000000002, 8, Clicked: YELLOW, x=386,  y=500,  RED: x=699,  y=280,  dx=0.08487633743712361,  dy=0.05287728570245951,  clicks=0,  score=0, ORANGE: x=254,  y=490,  dx=0.00023617710863350905,  dy=-0.05525556427474804,  clicks=0,  score=0, DARK_YELLOW: x=416,  y=460,  dx=0.08008201442959578,  dy=-0.10263351208036567,  clicks=9,  score=8,
################# INIT balls ######################
2.019, Init stimuli, 8, RED x=327 y=176 dx=0.09550914766496849 dy=0.029631110548058216 clicks=0 score=0, ORANGE x=524 y=506 dx=0.07805765710839209 dy=0.06250601704435092 clicks=0 score=0, YELLOW x=865 y=193 dx=-0.0650960980545836 dy=0.07591111919915314 clicks=0 score=0, 
