Mon 01 Jul 2024, 12:38AM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, RED x=212 y=182 dx=0.03507766752205742 dy=0.0936459141725468 clicks=0 score=0, ORANGE x=515 y=592 dx=-0.06239416996046896 dy=-0.07814708922886453 clicks=0 score=0, YELLOW x=922 y=84 dx=0.08623947577389314 dy=-0.050623638927324244 clicks=0 score=0, 
################# INIT balls ######################
1.009, Init stimuli, 0, RED x=754 y=452 dx=-0.08841998051303473 dy=0.04671088787504 clicks=0 score=0, ORANGE x=572 y=552 dx=0.09897849464807706 dy=0.01425684387235059 clicks=0 score=0, YELLOW x=1146 y=255 dx=-0.06848643401374359 dy=-0.07286705947189819 clicks=0 score=0, 
0.11699999999999999, 0, Clicked: None, x=480, y=519,  RED: x=743,  y=457,  dx=-0.08841998051303473,  dy=0.04671088787504,  clicks=0,  score=0, ORANGE: x=583,  y=554,  dx=0.09897849464807706,  dy=0.01425684387235059,  clicks=0,  score=0, YELLOW: x=1138,  y=246,  dx=-0.06848643401374359,  dy=-0.07286705947189819,  clicks=0,  score=0,
0.514, 0, Clicked: ORANGE, x=596,  y=548,  RED: x=709,  y=471,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=622,  y=569,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=1,  score=1, YELLOW: x=1105,  y=211,  dx=-0.06848643401374359,  dy=-0.07286705947189819,  clicks=0,  score=0,
0.6460000000000001, 1, Clicked: ORANGE, x=607,  y=545,  RED: x=713,  y=461,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=620,  y=589,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=2,  score=2, YELLOW: x=1094,  y=199,  dx=-0.06848643401374359,  dy=-0.07286705947189819,  clicks=0,  score=0,
0.778, 2, Clicked: None, x=607, y=545,  RED: x=717,  y=451,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, ORANGE: x=618,  y=609,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=2,  score=2, YELLOW: x=1083,  y=188,  dx=-0.06848643401374359,  dy=-0.07286705947189819,  clicks=0,  score=0,
0.8760000000000001, 2, Clicked: ORANGE, x=613,  y=573,  RED: x=720,  y=443,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=617,  y=624,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=3,  score=3, YELLOW: x=1075,  y=179,  dx=-0.06848643401374359,  dy=-0.07286705947189819,  clicks=0,  score=0,
1.0580000000000003, 3, Clicked: None, x=616, y=578,  RED: x=725,  y=429,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, ORANGE: x=614,  y=651,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=3,  score=3, YELLOW: x=1060,  y=163,  dx=-0.06848643401374359,  dy=-0.07286705947189819,  clicks=0,  score=0,
1.29, 3, Clicked: ORANGE, x=626,  y=648,  RED: x=731,  y=412,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=610,  y=686,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=4,  score=4, YELLOW: x=1040,  y=176,  dx=-0.06848643401374359,  dy=0.07286705947189819,  clicks=0,  score=0,
1.5060000000000002, 4, Clicked: ORANGE, x=623,  y=699,  RED: x=737,  y=395,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=607,  y=718,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=5,  score=5, YELLOW: x=1023,  y=194,  dx=-0.06848643401374359,  dy=0.07286705947189819,  clicks=0,  score=0,
1.62, 5, Clicked: ORANGE, x=623,  y=699,  RED: x=740,  y=386,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=605,  y=735,  dx=-0.012387008533028224,  dy=0.12392243620704549,  clicks=6,  score=6, YELLOW: x=1013,  y=205,  dx=-0.06848643401374359,  dy=0.07286705947189819,  clicks=0,  score=0,
1.7520000000000002, 6, Clicked: ORANGE, x=622,  y=704,  RED: x=744,  y=376,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=603,  y=725,  dx=-0.012387008533028224,  dy=-0.12392243620704549,  clicks=7,  score=7, YELLOW: x=1002,  y=216,  dx=-0.06848643401374359,  dy=0.07286705947189819,  clicks=0,  score=0,
1.899, 7, Clicked: ORANGE, x=619,  y=711,  RED: x=748,  y=365,  dx=0.022945522668070553,  dy=-0.0629547044596549,  clicks=0,  score=0, DARK_ORANGE: x=601,  y=702,  dx=-0.012387008533028224,  dy=-0.12392243620704549,  clicks=8,  score=8, YELLOW: x=990,  y=229,  dx=-0.06848643401374359,  dy=0.07286705947189819,  clicks=0,  score=0,
