Tue 20 Aug 2024, 04:27PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
1.849, 0, Clicked: RED, x=1153,  y=351,  DARK_RED: x=1138,  y=348,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=1,  score=1, ORANGE: x=1093,  y=690,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=0,  score=0, YELLOW: x=231,  y=503,  dx=-0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
2.163, 1, Clicked: RED, x=1170,  y=322,  DARK_RED: x=1143,  y=310,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=2,  score=2, ORANGE: x=1057,  y=677,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=0,  score=0, YELLOW: x=193,  y=505,  dx=-0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
2.347, 2, Clicked: RED, x=1172,  y=319,  DARK_RED: x=1146,  y=288,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=3,  score=3, ORANGE: x=1036,  y=670,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=0,  score=0, YELLOW: x=171,  y=506,  dx=-0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
2.561, 3, Clicked: None, x=1172, y=319,  RED: x=1149,  y=262,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=3,  score=3, ORANGE: x=1012,  y=661,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=0,  score=0, YELLOW: x=173,  y=507,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
2.691, 3, Clicked: None, x=1172, y=318,  RED: x=1151,  y=247,  dx=0.012578780450789022,  dy=-0.09920571698430918,  clicks=3,  score=3, ORANGE: x=997,  y=656,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=0,  score=0, YELLOW: x=189,  y=507,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
3.616, 3, Clicked: ORANGE, x=853,  y=613,  RED: x=1165,  y=183,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=891,  y=618,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=1,  score=0, YELLOW: x=301,  y=512,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
3.782, 3, Clicked: ORANGE, x=853,  y=613,  RED: x=1167,  y=203,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=872,  y=611,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=2,  score=0, YELLOW: x=321,  y=513,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
3.915, 3, Clicked: ORANGE, x=853,  y=613,  RED: x=1169,  y=219,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=857,  y=606,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=3,  score=0, YELLOW: x=337,  y=514,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
4.08, 3, Clicked: ORANGE, x=845,  y=613,  RED: x=1172,  y=239,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=838,  y=599,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=4,  score=0, YELLOW: x=357,  y=514,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
4.23, 3, Clicked: ORANGE, x=844,  y=613,  RED: x=1174,  y=257,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=821,  y=593,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=5,  score=0, YELLOW: x=375,  y=515,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
4.378, 3, Clicked: ORANGE, x=828,  y=603,  RED: x=1176,  y=275,  dx=0.012578780450789022,  dy=0.09920571698430918,  clicks=3,  score=3, DARK_ORANGE: x=805,  y=587,  dx=-0.09411299598079077,  dy=-0.033804496557701624,  clicks=6,  score=0, YELLOW: x=393,  y=516,  dx=0.09991327337486405,  dy=0.004163868816339217,  clicks=0,  score=0,
