Tue 20 Aug 2024, 04:29PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
2.133, 0, Clicked: RED, x=1100,  y=388,  DARK_RED: x=1099,  y=384,  dx=0.09514221814368092,  dy=0.03078893188631647,  clicks=1,  score=1, ORANGE: x=258,  y=563,  dx=0.059529082931053814,  dy=-0.08035103163860262,  clicks=0,  score=0, YELLOW: x=1022,  y=547,  dx=0.09977464836851864,  dy=-0.006709660419012328,  clicks=0,  score=0,
2.297, 1, Clicked: RED, x=1103,  y=390,  DARK_RED: x=1118,  y=390,  dx=0.09514221814368092,  dy=0.03078893188631647,  clicks=2,  score=2, ORANGE: x=270,  y=547,  dx=0.059529082931053814,  dy=-0.08035103163860262,  clicks=0,  score=0, YELLOW: x=1042,  y=546,  dx=0.09977464836851864,  dy=-0.006709660419012328,  clicks=0,  score=0,
2.539, 2, Clicked: RED, x=1123,  y=404,  DARK_RED: x=1146,  y=399,  dx=0.09514221814368092,  dy=0.03078893188631647,  clicks=3,  score=3, ORANGE: x=288,  y=523,  dx=0.059529082931053814,  dy=-0.08035103163860262,  clicks=0,  score=0, YELLOW: x=1072,  y=544,  dx=0.09977464836851864,  dy=-0.006709660419012328,  clicks=0,  score=0,
2.883, 3, Clicked: RED, x=1185,  y=430,  DARK_RED: x=1186,  y=412,  dx=0.09514221814368092,  dy=0.03078893188631647,  clicks=4,  score=4, ORANGE: x=313,  y=489,  dx=0.059529082931053814,  dy=-0.08035103163860262,  clicks=0,  score=0, YELLOW: x=1114,  y=541,  dx=0.09977464836851864,  dy=-0.006709660419012328,  clicks=0,  score=0,
3.061, 4, Clicked: RED, x=1185,  y=430,  DARK_RED: x=1207,  y=419,  dx=0.09514221814368092,  dy=0.03078893188631647,  clicks=5,  score=5, ORANGE: x=326,  y=471,  dx=0.059529082931053814,  dy=-0.08035103163860262,  clicks=0,  score=0, YELLOW: x=1136,  y=539,  dx=0.09977464836851864,  dy=-0.006709660419012328,  clicks=0,  score=0,
4.67, 5, Clicked: ORANGE, x=461,  y=309,  RED: x=1197,  y=352,  dx=-0.06588643810633468,  dy=-0.07259204999517352,  clicks=5,  score=5, DARK_ORANGE: x=443,  y=314,  dx=0.059529082931053814,  dy=-0.08035103163860262,  clicks=1,  score=0, YELLOW: x=1249,  y=653,  dx=0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
978.329, 5, Clicked: ORANGE, x=461,  y=309,  RED: x=1196,  y=351,  dx=-0.06588643810633468,  dy=-0.07259204999517352,  clicks=5,  score=5, DARK_ORANGE: x=444,  y=312,  dx=0.059529082931053814,  dy=-0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1249,  y=655,  dx=0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
982.543, 5, Clicked: RED, x=1000,  y=199,  DARK_RED: x=978,  y=207,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=6,  score=6, ORANGE: x=640,  y=272,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1203,  y=506,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
982.741, 6, Clicked: RED, x=988,  y=215,  DARK_RED: x=963,  y=225,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=7,  score=7, ORANGE: x=655,  y=291,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1195,  y=482,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
982.921, 7, Clicked: RED, x=975,  y=231,  DARK_RED: x=948,  y=241,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=8,  score=8, ORANGE: x=668,  y=309,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1188,  y=461,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
983.253, 8, Clicked: RED, x=911,  y=294,  DARK_RED: x=922,  y=270,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=9,  score=9, ORANGE: x=692,  y=341,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1175,  y=422,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
983.421, 9, Clicked: RED, x=908,  y=296,  DARK_RED: x=909,  y=284,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=10,  score=10, ORANGE: x=704,  y=357,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1169,  y=403,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
983.552, 10, Clicked: RED, x=902,  y=313,  DARK_RED: x=898,  y=296,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=11,  score=11, ORANGE: x=713,  y=370,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1164,  y=388,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
983.746, 11, Clicked: RED, x=900,  y=320,  DARK_RED: x=882,  y=313,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=12,  score=12, ORANGE: x=727,  y=389,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1156,  y=364,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
983.881, 12, Clicked: RED, x=899,  y=324,  DARK_RED: x=872,  y=325,  dx=-0.06588643810633468,  dy=0.07259204999517352,  clicks=13,  score=13, ORANGE: x=737,  y=402,  dx=0.059529082931053814,  dy=0.08035103163860262,  clicks=2,  score=0, YELLOW: x=1151,  y=349,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
984.979, 13, Clicked: ORANGE, x=754,  y=574,  RED: x=845,  y=366,  dx=-0.0017911861511281657,  dy=0.013659212840452732,  clicks=13,  score=13, DARK_ORANGE: x=755,  y=566,  dx=-0.0045661690241527025,  dy=0.1392838687933234,  clicks=3,  score=0, YELLOW: x=1108,  y=219,  dx=-0.03231140909735544,  dy=-0.09667132146247766,  clicks=0,  score=0,
988.983, 13, Clicked: ORANGE, x=757,  y=726,  RED: x=843,  y=384,  dx=-0.0017911861511281657,  dy=0.013659212840452732,  clicks=13,  score=13, DARK_ORANGE: x=749,  y=728,  dx=-0.0045661690241527025,  dy=-0.1392838687933234,  clicks=4,  score=0, YELLOW: x=1064,  y=229,  dx=-0.03231140909735544,  dy=0.09667132146247766,  clicks=0,  score=0,
