Tue 22 Oct 2024, 11:46PM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
4.034, 0, Clicked: None, x=381, y=495, Clicked: None, x=381, y=495, Clicked: (255, 0, 0), x=381,  y=495,  (255, 0, 0): x=1707,  y=783,  dx=0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1568,  y=726,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=0,  score=0, (204, 0, 0): x=342,  y=489,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=1,  score=1,
4.183, 1, Clicked: None, x=381, y=495, Clicked: None, x=381, y=495, Clicked: (255, 0, 0), x=381,  y=495,  (255, 0, 0): x=1719,  y=782,  dx=0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1556,  y=706,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=0,  score=0, (204, 0, 0): x=360,  y=491,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=2,  score=2,
4.317, 2, Clicked: None, x=381, y=495, Clicked: None, x=381, y=495, Clicked: (255, 0, 0), x=381,  y=495,  (255, 0, 0): x=1729,  y=781,  dx=0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1545,  y=689,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=0,  score=0, (204, 0, 0): x=376,  y=493,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=3,  score=3,
4.469, 3, Clicked: None, x=381, y=495, Clicked: None, x=381, y=495, Clicked: (255, 0, 0), x=381,  y=495,  (255, 0, 0): x=1741,  y=780,  dx=0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1533,  y=670,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=0,  score=0, (204, 0, 0): x=394,  y=495,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=4,  score=4,
4.584, 4, Clicked: None, x=381, y=495, Clicked: None, x=381, y=495, Clicked: (255, 0, 0), x=381,  y=495,  (255, 0, 0): x=1750,  y=779,  dx=0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1524,  y=655,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=0,  score=0, (204, 0, 0): x=407,  y=497,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=5,  score=5,
5.312, 5, Clicked: None, x=1466, y=575, Clicked: (255, 0, 0), x=1466,  y=575, Clicked: None, x=1466, y=575,  (255, 0, 0): x=1713,  y=774,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (204, 0, 0): x=1466,  y=561,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=1,  score=1, (255, 0, 0): x=495,  y=508,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=5,  score=5,
5.459, 6, Clicked: None, x=1466, y=574, Clicked: (255, 0, 0), x=1466,  y=574, Clicked: None, x=1466, y=574,  (255, 0, 0): x=1701,  y=773,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (204, 0, 0): x=1454,  y=542,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=2,  score=2, (255, 0, 0): x=513,  y=511,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=5,  score=5,
5.607, 7, Clicked: None, x=1441, y=512, Clicked: (255, 0, 0), x=1441,  y=512, Clicked: None, x=1441, y=512,  (255, 0, 0): x=1690,  y=772,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (204, 0, 0): x=1442,  y=523,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=3,  score=3, (255, 0, 0): x=530,  y=513,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=5,  score=5,
5.852, 8, Clicked: None, x=1403, y=436, Clicked: (255, 0, 0), x=1403,  y=436, Clicked: None, x=1403, y=436,  (255, 0, 0): x=1670,  y=770,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (204, 0, 0): x=1422,  y=491,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=560,  y=517,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=5,  score=5,
6.928, 9, Clicked: None, x=759, y=521, Clicked: None, x=759, y=521, Clicked: None, x=759, y=521,  (255, 0, 0): x=1586,  y=762,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1336,  y=352,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=4,  score=4, (255, 0, 0): x=689,  y=534,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=5,  score=5,
7.078, 9, Clicked: None, x=759, y=521, Clicked: None, x=759, y=521, Clicked: (255, 0, 0), x=759,  y=521,  (255, 0, 0): x=1574,  y=761,  dx=-0.0647757054061043,  dy=-0.006187123273775269,  clicks=0,  score=0, (255, 0, 0): x=1324,  y=333,  dx=-0.06630387066194215,  dy=-0.10662844006165124,  clicks=4,  score=4, (204, 0, 0): x=707,  y=536,  dx=0.09916674417932365,  dy=0.012882424029373436,  clicks=6,  score=6,
