Tue 20 Aug 2024, 04:49PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
1.913, 0, Clicked: RED, x=490,  y=360,  DARK_RED: x=485,  y=323,  dx=-0.05113627907134241,  dy=0.08593649377731087,  clicks=1,  score=1, ORANGE: x=833,  y=447,  dx=0.08702126644488496,  dy=0.04926762817843314,  clicks=0,  score=0, YELLOW: x=776,  y=647,  dx=-0.010197596844698368,  dy=0.09947868625285017,  clicks=0,  score=0,
2.126, 1, Clicked: RED, x=485,  y=364,  DARK_RED: x=472,  y=345,  dx=-0.05113627907134241,  dy=0.08593649377731087,  clicks=2,  score=2, ORANGE: x=856,  y=459,  dx=0.08702126644488496,  dy=0.04926762817843314,  clicks=0,  score=0, YELLOW: x=774,  y=673,  dx=-0.010197596844698368,  dy=0.09947868625285017,  clicks=0,  score=0,
2.811, 2, Clicked: ORANGE, x=981,  y=510,  RED: x=430,  y=416,  dx=-0.05113627907134241,  dy=0.08593649377731087,  clicks=2,  score=2, DARK_ORANGE: x=927,  y=500,  dx=0.08702126644488496,  dy=0.04926762817843314,  clicks=1,  score=0, YELLOW: x=765,  y=726,  dx=-0.010197596844698368,  dy=-0.09947868625285017,  clicks=0,  score=0,
5.299, 2, Clicked: ORANGE, x=981,  y=514,  RED: x=429,  y=417,  dx=-0.05113627907134241,  dy=0.08593649377731087,  clicks=2,  score=2, DARK_ORANGE: x=929,  y=501,  dx=0.08702126644488496,  dy=0.04926762817843314,  clicks=2,  score=0, YELLOW: x=765,  y=724,  dx=-0.010197596844698368,  dy=-0.09947868625285017,  clicks=0,  score=0,
5.299, 2, Clicked: ORANGE, x=960,  y=515,  RED: x=429,  y=417,  dx=-0.05113627907134241,  dy=0.08593649377731087,  clicks=2,  score=2, DARK_ORANGE: x=929,  y=501,  dx=0.08702126644488496,  dy=0.04926762817843314,  clicks=3,  score=0, YELLOW: x=765,  y=724,  dx=-0.010197596844698368,  dy=-0.09947868625285017,  clicks=0,  score=0,
5.299, 2, Clicked: ORANGE, x=960,  y=515,  RED: x=429,  y=417,  dx=-0.05113627907134241,  dy=0.08593649377731087,  clicks=2,  score=2, DARK_ORANGE: x=929,  y=501,  dx=0.08702126644488496,  dy=0.04926762817843314,  clicks=4,  score=0, YELLOW: x=765,  y=724,  dx=-0.010197596844698368,  dy=-0.09947868625285017,  clicks=0,  score=0,
################# INIT balls ######################
5.299, Init stimuli, 2, 
5.601999999999999, 2, Clicked: YELLOW, x=373,  y=546,  RED: x=1277,  y=559,  dx=0.014779140719683587,  dy=-0.05131312505896636,  clicks=0,  score=0, ORANGE: x=884,  y=485,  dx=-0.09762160866246121,  dy=-0.08728437270453372,  clicks=0,  score=0, DARK_YELLOW: x=340,  y=553,  dx=0.07580205798522766,  dy=-0.0652230634454116,  clicks=1,  score=1,
6.456, 3, Clicked: None, x=409, y=423,  RED: x=1267,  y=505,  dx=-0.014779140719683587,  dy=-0.05131312505896636,  clicks=0,  score=0, ORANGE: x=783,  y=394,  dx=-0.09762160866246121,  dy=-0.08728437270453372,  clicks=0,  score=0, YELLOW: x=419,  y=485,  dx=0.07580205798522766,  dy=-0.0652230634454116,  clicks=1,  score=1,
6.637, 3, Clicked: YELLOW, x=464,  y=447,  RED: x=1264,  y=494,  dx=-0.014779140719683587,  dy=-0.05131312505896636,  clicks=0,  score=0, ORANGE: x=761,  y=375,  dx=-0.09762160866246121,  dy=-0.08728437270453372,  clicks=0,  score=0, DARK_YELLOW: x=435,  y=471,  dx=0.07580205798522766,  dy=-0.0652230634454116,  clicks=2,  score=2,
