Mon 29 Jan 2024, 10:40PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, (0, 0, 255) x=1279 y=335 dx=0.0998819527476892 dy=0.004857521519086023 clicks=0 score=0, (255, 0, 0) x=611 y=316 dx=0.07569163365331454 dy=-0.06535117898624647 clicks=0 score=0, (0, 128, 0) x=1330 y=175 dx=-0.02113064473810144 dy=-0.09774198613161156 clicks=0 score=0, 
1.581000000000003, 0, Clicked: (255, 0, 0), x=699,  y=275,  BLUE: x=1369,  y=339,  dx=0.0998819527476892,  dy=0.004857521519086023,  clicks=0,  score=0, Unknown Color: x=679,  y=257,  dx=0.07569163365331454,  dy=-0.06535117898624647,  clicks=1,  score=1, GREEN: x=1311,  y=230,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=0,  score=0,
1.7509999999999906, 1, Clicked: (255, 0, 0), x=699,  y=274,  BLUE: x=1379,  y=340,  dx=0.0998819527476892,  dy=0.004857521519086023,  clicks=0,  score=0, Unknown Color: x=687,  y=251,  dx=0.07569163365331454,  dy=-0.06535117898624647,  clicks=2,  score=1, GREEN: x=1308,  y=240,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=0,  score=0,
1.9200000000000017, 1, Clicked: (255, 0, 0), x=699,  y=274,  BLUE: x=1389,  y=340,  dx=0.0998819527476892,  dy=0.004857521519086023,  clicks=0,  score=0, Unknown Color: x=694,  y=244,  dx=0.07569163365331454,  dy=-0.06535117898624647,  clicks=3,  score=1, GREEN: x=1306,  y=249,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=0,  score=0,
2.695999999999998, 1, Clicked: (0, 0, 255), x=1455,  y=322,  Unknown Color: x=1435,  y=342,  dx=0.0998819527476892,  dy=0.004857521519086023,  clicks=1,  score=1, RED: x=729,  y=214,  dx=0.07569163365331454,  dy=-0.06535117898624647,  clicks=3,  score=1, GREEN: x=1297,  y=294,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=0,  score=0,
3.1340000000000003, 2, Clicked: (0, 0, 255), x=1454,  y=351,  Unknown Color: x=1460,  y=344,  dx=-0.0998819527476892,  dy=0.004857521519086023,  clicks=2,  score=1, RED: x=749,  y=197,  dx=0.07569163365331454,  dy=-0.06535117898624647,  clicks=3,  score=1, GREEN: x=1291,  y=320,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=0,  score=0,
3.634999999999991, 2, Clicked: (0, 128, 0), x=1303,  y=383,  BLUE: x=1430,  y=345,  dx=-0.0998819527476892,  dy=0.004857521519086023,  clicks=2,  score=1, RED: x=771,  y=177,  dx=0.07569163365331454,  dy=-0.06535117898624647,  clicks=3,  score=1, Unknown Color: x=1285,  y=349,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=1,  score=1,
4.006999999999991, 3, Clicked: (0, 128, 0), x=1303,  y=383,  BLUE: x=1408,  y=346,  dx=-0.0998819527476892,  dy=0.004857521519086023,  clicks=2,  score=1, RED: x=788,  y=163,  dx=0.07569163365331454,  dy=-0.06535117898624647,  clicks=3,  score=1, Unknown Color: x=1280,  y=371,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=2,  score=1,
4.141999999999996, 3, Clicked: (0, 128, 0), x=1303,  y=382,  BLUE: x=1400,  y=346,  dx=-0.0998819527476892,  dy=0.004857521519086023,  clicks=2,  score=1, RED: x=794,  y=161,  dx=0.07569163365331454,  dy=0.06535117898624647,  clicks=3,  score=1, Unknown Color: x=1278,  y=378,  dx=-0.02113064473810144,  dy=0.09774198613161156,  clicks=3,  score=1,
4.811999999999998, 3, Clicked: (255, 0, 0), x=846,  y=200,  BLUE: x=1370,  y=344,  dx=-0.06254602929734956,  dy=-0.009553862083316347,  clicks=2,  score=1, Unknown Color: x=824,  y=187,  dx=0.07569163365331454,  dy=0.06535117898624647,  clicks=4,  score=2, GREEN: x=1259,  y=422,  dx=-0.05846656818844108,  dy=0.11215336973401392,  clicks=3,  score=1,
4.980000000000004, 4, Clicked: (255, 0, 0), x=846,  y=199,  BLUE: x=1364,  y=343,  dx=-0.06254602929734956,  dy=-0.009553862083316347,  clicks=2,  score=1, Unknown Color: x=832,  y=193,  dx=0.07569163365331454,  dy=0.06535117898624647,  clicks=5,  score=2, GREEN: x=1254,  y=433,  dx=-0.05846656818844108,  dy=0.11215336973401392,  clicks=3,  score=1,
5.215000000000003, 4, Clicked: (255, 0, 0), x=846,  y=199,  BLUE: x=1355,  y=342,  dx=-0.06254602929734956,  dy=-0.009553862083316347,  clicks=2,  score=1, Unknown Color: x=843,  y=203,  dx=0.07569163365331454,  dy=0.06535117898624647,  clicks=6,  score=2, GREEN: x=1245,  y=448,  dx=-0.05846656818844108,  dy=0.11215336973401392,  clicks=3,  score=1,
5.314999999999998, 4, Clicked: (255, 0, 0), x=846,  y=199,  BLUE: x=1351,  y=342,  dx=-0.06254602929734956,  dy=-0.009553862083316347,  clicks=2,  score=1, Unknown Color: x=847,  y=207,  dx=0.07569163365331454,  dy=0.06535117898624647,  clicks=7,  score=2, GREEN: x=1242,  y=455,  dx=-0.05846656818844108,  dy=0.11215336973401392,  clicks=3,  score=1,
