Mon 29 Jan 2024, 10:52PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=273 y=387 dx=-0.015977644047738056 dy=-0.0987153224716598 clicks=0 score=0, RED x=898 y=378 dx=0.09930471421805133 dy=-0.011771734539614562 clicks=0 score=0, GREEN x=1216 y=222 dx=0.05969634481172388 dy=-0.080226843488447 clicks=0 score=0, 
1.2019999999999995, 0, Clicked: RED, x=988,  y=356,  BLUE: x=261,  y=316,  dx=-0.015977644047738056,  dy=-0.0987153224716598,  clicks=0,  score=0, DARK_RED: x=969,  y=370,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1259,  y=165,  dx=0.05969634481172388,  dy=-0.080226843488447,  clicks=0,  score=0,
2.0340000000000003, 1, Clicked: GREEN, x=1315,  y=221,  BLUE: x=253,  y=267,  dx=-0.015977644047738056,  dy=-0.0987153224716598,  clicks=0,  score=0, RED: x=1019,  y=364,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, DARK_GREEN: x=1288,  y=193,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
3.1489999999999996, 2, Clicked: BLUE, x=231,  y=209,  DARK_BLUE: x=243,  y=202,  dx=-0.015977644047738056,  dy=-0.0987153224716598,  clicks=1,  score=1, RED: x=1084,  y=356,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1328,  y=246,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
3.514, 3, Clicked: BLUE, x=231,  y=208,  DARK_BLUE: x=239,  y=180,  dx=-0.015977644047738056,  dy=-0.0987153224716598,  clicks=2,  score=1, RED: x=1106,  y=354,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1341,  y=264,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
3.815, 3, Clicked: BLUE, x=231,  y=208,  DARK_BLUE: x=236,  y=162,  dx=-0.015977644047738056,  dy=-0.0987153224716598,  clicks=3,  score=1, RED: x=1124,  y=352,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1352,  y=278,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
4.015000000000001, 3, Clicked: BLUE, x=231,  y=208,  DARK_BLUE: x=235,  y=167,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=4,  score=1, RED: x=1136,  y=350,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1359,  y=288,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
4.149999999999999, 3, Clicked: BLUE, x=231,  y=208,  DARK_BLUE: x=233,  y=175,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=5,  score=2, RED: x=1144,  y=349,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1364,  y=294,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
4.318999999999999, 4, Clicked: BLUE, x=231,  y=208,  DARK_BLUE: x=232,  y=185,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=6,  score=2, RED: x=1154,  y=348,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1370,  y=302,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
4.4879999999999995, 4, Clicked: BLUE, x=231,  y=208,  DARK_BLUE: x=230,  y=195,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=7,  score=2, RED: x=1164,  y=347,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1376,  y=310,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
4.623999999999999, 4, Clicked: BLUE, x=231,  y=208,  DARK_BLUE: x=229,  y=203,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, RED: x=1172,  y=346,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=1,  score=1, GREEN: x=1380,  y=317,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
5.507, 4, Clicked: RED, x=1237,  y=332,  BLUE: x=221,  y=254,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1223,  y=340,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=2,  score=2, GREEN: x=1411,  y=358,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
5.905999999999999, 5, Clicked: RED, x=1257,  y=333,  BLUE: x=217,  y=278,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1247,  y=337,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=3,  score=2, GREEN: x=1426,  y=378,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
6.038, 5, Clicked: RED, x=1257,  y=333,  BLUE: x=215,  y=286,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1255,  y=336,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=4,  score=2, GREEN: x=1430,  y=384,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
6.17, 5, Clicked: RED, x=1257,  y=333,  BLUE: x=214,  y=294,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1263,  y=335,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=5,  score=2, GREEN: x=1435,  y=391,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
6.27, 5, Clicked: RED, x=1257,  y=333,  BLUE: x=213,  y=300,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1269,  y=334,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=6,  score=2, GREEN: x=1439,  y=395,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=1,  score=1,
6.7379999999999995, 5, Clicked: GREEN, x=1412,  y=414,  BLUE: x=209,  y=327,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, RED: x=1297,  y=331,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=6,  score=2, DARK_GREEN: x=1456,  y=418,  dx=0.05969634481172388,  dy=0.080226843488447,  clicks=2,  score=2,
6.905999999999999, 6, Clicked: GREEN, x=1428,  y=434,  BLUE: x=207,  y=337,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, RED: x=1307,  y=330,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=6,  score=2, DARK_GREEN: x=1458,  y=426,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=3,  score=2,
7.106999999999999, 6, Clicked: GREEN, x=1435,  y=445,  BLUE: x=205,  y=349,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, RED: x=1319,  y=329,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=6,  score=2, DARK_GREEN: x=1451,  y=435,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=4,  score=2,
7.241, 6, Clicked: GREEN, x=1435,  y=445,  BLUE: x=204,  y=357,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, RED: x=1326,  y=328,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=6,  score=2, DARK_GREEN: x=1446,  y=442,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=5,  score=2,
7.4079999999999995, 6, Clicked: GREEN, x=1435,  y=445,  BLUE: x=202,  y=367,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, RED: x=1336,  y=326,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=6,  score=2, DARK_GREEN: x=1440,  y=450,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=6,  score=2,
7.507999999999999, 6, Clicked: GREEN, x=1435,  y=445,  BLUE: x=201,  y=373,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, RED: x=1342,  y=326,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=6,  score=2, DARK_GREEN: x=1437,  y=455,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
8.042, 6, Clicked: RED, x=1384,  y=315,  BLUE: x=196,  y=404,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1374,  y=322,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=7,  score=3, GREEN: x=1418,  y=480,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
8.176, 7, Clicked: RED, x=1384,  y=315,  BLUE: x=195,  y=412,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1382,  y=321,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=8,  score=3, GREEN: x=1413,  y=487,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
8.309999999999999, 7, Clicked: RED, x=1384,  y=315,  BLUE: x=194,  y=420,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1390,  y=320,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=9,  score=3, GREEN: x=1408,  y=493,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
8.443999999999999, 7, Clicked: RED, x=1384,  y=315,  BLUE: x=192,  y=428,  dx=-0.015977644047738056,  dy=0.0987153224716598,  clicks=8,  score=2, DARK_RED: x=1398,  y=319,  dx=0.09930471421805133,  dy=-0.011771734539614562,  clicks=10,  score=3, GREEN: x=1403,  y=500,  dx=-0.05969634481172388,  dy=0.080226843488447,  clicks=7,  score=2,
