Mon 29 Jan 2024, 10:53PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=604 y=194 dx=0.048348754792238734 dy=0.0875351238648805 clicks=0 score=0, RED x=727 y=453 dx=0.0764614007891713 dy=0.06444884940290024 clicks=0 score=0, GREEN x=354 y=303 dx=-0.060466043570497056 dy=-0.07964833692507806 clicks=0 score=0, 
1.5779999999999994, 0, Clicked: RED, x=769,  y=543,  BLUE: x=649,  y=276,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=0,  score=0, DARK_RED: x=799,  y=514,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=1,  score=1, GREEN: x=297,  y=228,  dx=-0.060466043570497056,  dy=-0.07964833692507806,  clicks=0,  score=0,
1.875, 1, Clicked: RED, x=784,  y=538,  BLUE: x=658,  y=292,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=0,  score=0, DARK_RED: x=812,  y=525,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=2,  score=1, GREEN: x=287,  y=213,  dx=-0.060466043570497056,  dy=-0.07964833692507806,  clicks=0,  score=0,
2.5860000000000003, 1, Clicked: RED, x=854,  y=533,  BLUE: x=678,  y=329,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=0,  score=0, DARK_RED: x=845,  y=552,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=3,  score=2, GREEN: x=261,  y=180,  dx=-0.060466043570497056,  dy=-0.07964833692507806,  clicks=0,  score=0,
2.721, 2, Clicked: RED, x=854,  y=533,  BLUE: x=682,  y=336,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=0,  score=0, DARK_RED: x=851,  y=557,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=4,  score=2, GREEN: x=256,  y=174,  dx=-0.060466043570497056,  dy=-0.07964833692507806,  clicks=0,  score=0,
2.886000000000001, 2, Clicked: RED, x=854,  y=533,  BLUE: x=687,  y=344,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=0,  score=0, DARK_RED: x=858,  y=564,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=5,  score=2, GREEN: x=250,  y=166,  dx=-0.060466043570497056,  dy=-0.07964833692507806,  clicks=0,  score=0,
3.0519999999999996, 2, Clicked: RED, x=854,  y=533,  BLUE: x=692,  y=353,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=0,  score=0, DARK_RED: x=866,  y=570,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=6,  score=2, GREEN: x=244,  y=161,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
3.1850000000000005, 2, Clicked: RED, x=854,  y=533,  BLUE: x=696,  y=360,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=0,  score=0, DARK_RED: x=872,  y=575,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=7,  score=2, GREEN: x=239,  y=167,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
3.5540000000000003, 2, Clicked: BLUE, x=724,  y=369,  DARK_BLUE: x=707,  y=379,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=1,  score=1, RED: x=889,  y=590,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=7,  score=2, GREEN: x=226,  y=185,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
3.6869999999999994, 3, Clicked: BLUE, x=724,  y=369,  DARK_BLUE: x=710,  y=386,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=2,  score=1, RED: x=895,  y=595,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=7,  score=2, GREEN: x=221,  y=191,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
3.8550000000000004, 3, Clicked: BLUE, x=724,  y=369,  DARK_BLUE: x=715,  y=395,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=3,  score=1, RED: x=903,  y=601,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=7,  score=2, GREEN: x=215,  y=199,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
3.99, 3, Clicked: BLUE, x=724,  y=369,  DARK_BLUE: x=719,  y=402,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=4,  score=1, RED: x=909,  y=606,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=7,  score=2, GREEN: x=210,  y=206,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
4.327, 3, Clicked: BLUE, x=745,  y=441,  DARK_BLUE: x=729,  y=420,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=5,  score=1, RED: x=924,  y=619,  dx=0.0764614007891713,  dy=0.06444884940290024,  clicks=7,  score=2, GREEN: x=198,  y=222,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
4.795, 3, Clicked: BLUE, x=749,  y=451,  DARK_BLUE: x=742,  y=444,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=6,  score=2, RED: x=945,  y=603,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=181,  y=244,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
5.334, 4, Clicked: BLUE, x=772,  y=478,  DARK_BLUE: x=758,  y=472,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=7,  score=2, RED: x=970,  y=582,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=162,  y=269,  dx=-0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
5.4670000000000005, 4, Clicked: BLUE, x=772,  y=478,  DARK_BLUE: x=762,  y=479,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=8,  score=2, RED: x=976,  y=577,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=161,  y=276,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
5.601000000000001, 4, Clicked: BLUE, x=772,  y=478,  DARK_BLUE: x=765,  y=486,  dx=0.048348754792238734,  dy=0.0875351238648805,  clicks=9,  score=2, RED: x=982,  y=572,  dx=0.0764614007891713,  dy=-0.06444884940290024,  clicks=7,  score=2, GREEN: x=166,  y=282,  dx=0.060466043570497056,  dy=0.07964833692507806,  clicks=0,  score=0,
