Mon 29 Jan 2024, 10:54PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=586 y=673 dx=-0.037458718076026264 dy=0.09271916975523876 clicks=0 score=0, RED x=78 y=236 dx=0.022133948827668098 dy=0.0975196816509066 clicks=0 score=0, GREEN x=1246 y=438 dx=0.07872253998996817 dy=-0.06166653628612412 clicks=0 score=0, 
1.008, 0, Clicked: GREEN, x=1296,  y=393,  BLUE: x=564,  y=566,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=172,  y=294,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1293,  y=401,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=1,  score=1,
1.1429999999999998, 1, Clicked: GREEN, x=1296,  y=393,  BLUE: x=561,  y=558,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=174,  y=302,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1300,  y=396,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=2,  score=1,
1.279, 1, Clicked: GREEN, x=1296,  y=392,  BLUE: x=558,  y=551,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=176,  y=310,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1306,  y=391,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=3,  score=1,
1.3810000000000002, 1, Clicked: GREEN, x=1296,  y=392,  BLUE: x=556,  y=545,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=177,  y=316,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1311,  y=388,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=4,  score=1,
1.4829999999999997, 1, Clicked: GREEN, x=1296,  y=392,  BLUE: x=553,  y=540,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=179,  y=321,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1315,  y=384,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=5,  score=1,
1.6160000000000005, 1, Clicked: GREEN, x=1296,  y=392,  BLUE: x=550,  y=532,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=180,  y=329,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1322,  y=379,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=6,  score=1,
1.7150000000000007, 1, Clicked: GREEN, x=1345,  y=367,  BLUE: x=548,  y=527,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=182,  y=335,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1326,  y=375,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=7,  score=1,
1.8470000000000004, 1, Clicked: GREEN, x=1345,  y=366,  BLUE: x=545,  y=519,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=183,  y=343,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, DARK_GREEN: x=1333,  y=371,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
2.444, 1, Clicked: None, x=475, y=426,  BLUE: x=532,  y=486,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=191,  y=378,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1361,  y=348,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
2.5780000000000003, 1, Clicked: None, x=478, y=426,  BLUE: x=529,  y=479,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=193,  y=386,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1367,  y=343,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
2.7120000000000006, 1, Clicked: None, x=480, y=426,  BLUE: x=526,  y=471,  dx=-0.037458718076026264,  dy=-0.09271916975523876,  clicks=0,  score=0, RED: x=195,  y=394,  dx=0.022133948827668098,  dy=0.0975196816509066,  clicks=0,  score=0, GREEN: x=1374,  y=338,  dx=0.07872253998996817,  dy=-0.06166653628612412,  clicks=8,  score=1,
