Tue 30 Jan 2024, 08:59AM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, Unknown Color x=1009 y=297 dx=-0.017179404763297868 dy=-0.09851328870755854 clicks=0 score=0, Unknown Color x=1347 y=359 dx=-0.05298629834676477 dy=0.0848083261685292 clicks=0 score=0, Unknown Color x=774 y=366 dx=0.014421147586196748 dy=-0.09895468913748925 clicks=0 score=0, 
2.3900000000000006, 0, Clicked: Unknown Color, x=780,  y=235,  Unknown Color: x=985,  y=161,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=0,  score=0, Unknown Color: x=1272,  y=479,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=0,  score=0, DARK_GREEN: x=795,  y=226,  dx=0.014421147586196748,  dy=-0.09895468913748925,  clicks=1,  score=1,
2.524000000000001, 1, Clicked: Unknown Color, x=780,  y=235,  Unknown Color: x=983,  y=169,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=0,  score=0, Unknown Color: x=1268,  y=486,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=0,  score=0, DARK_GREEN: x=796,  y=218,  dx=0.014421147586196748,  dy=-0.09895468913748925,  clicks=2,  score=1,
2.6560000000000006, 1, Clicked: Unknown Color, x=780,  y=235,  Unknown Color: x=982,  y=177,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=0,  score=0, Unknown Color: x=1264,  y=493,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=0,  score=0, DARK_GREEN: x=797,  y=210,  dx=0.014421147586196748,  dy=-0.09895468913748925,  clicks=3,  score=1,
3.1180000000000003, 1, Clicked: Unknown Color, x=967,  y=218,  DARK_BLUE: x=977,  y=205,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=1,  score=1, Unknown Color: x=1249,  y=516,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=0,  score=0, Unknown Color: x=801,  y=182,  dx=0.014421147586196748,  dy=-0.09895468913748925,  clicks=3,  score=1,
3.2520000000000007, 2, Clicked: Unknown Color, x=967,  y=218,  DARK_BLUE: x=976,  y=213,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=2,  score=1, Unknown Color: x=1245,  y=523,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=0,  score=0, Unknown Color: x=802,  y=174,  dx=0.014421147586196748,  dy=-0.09895468913748925,  clicks=3,  score=1,
3.3520000000000003, 2, Clicked: Unknown Color, x=967,  y=218,  DARK_BLUE: x=975,  y=219,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=3,  score=1, Unknown Color: x=1241,  y=528,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=0,  score=0, Unknown Color: x=803,  y=168,  dx=0.014421147586196748,  dy=-0.09895468913748925,  clicks=3,  score=1,
3.8529999999999998, 2, Clicked: Unknown Color, x=1257,  y=587,  Unknown Color: x=969,  y=248,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=3,  score=1, DARK_RED: x=1226,  y=554,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=1,  score=1, Unknown Color: x=807,  y=179,  dx=0.014421147586196748,  dy=0.09895468913748925,  clicks=3,  score=1,
3.9209999999999994, 3, Clicked: Unknown Color, x=1257,  y=587,  Unknown Color: x=969,  y=252,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=3,  score=1, DARK_RED: x=1223,  y=557,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=2,  score=1, Unknown Color: x=808,  y=183,  dx=0.014421147586196748,  dy=0.09895468913748925,  clicks=3,  score=1,
4.057, 3, Clicked: Unknown Color, x=1257,  y=587,  Unknown Color: x=967,  y=260,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=3,  score=1, DARK_RED: x=1219,  y=564,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=3,  score=1, Unknown Color: x=809,  y=191,  dx=0.014421147586196748,  dy=0.09895468913748925,  clicks=3,  score=1,
4.193, 3, Clicked: Unknown Color, x=1257,  y=586,  Unknown Color: x=966,  y=268,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=3,  score=1, DARK_RED: x=1215,  y=571,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=4,  score=1, Unknown Color: x=810,  y=199,  dx=0.014421147586196748,  dy=0.09895468913748925,  clicks=3,  score=1,
4.295, 3, Clicked: Unknown Color, x=1257,  y=586,  Unknown Color: x=965,  y=274,  dx=-0.017179404763297868,  dy=0.09851328870755854,  clicks=3,  score=1, DARK_RED: x=1212,  y=576,  dx=-0.05298629834676477,  dy=0.0848083261685292,  clicks=5,  score=1, Unknown Color: x=811,  y=205,  dx=0.014421147586196748,  dy=0.09895468913748925,  clicks=3,  score=1,
