Tue 30 Jan 2024, 09:02AM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=490 y=576 dx=0.05402515145373826 dy=-0.08415035953815435 clicks=0 score=0, RED x=198 y=121 dx=-0.09479895037977487 dy=0.031830158763238706 clicks=0 score=0, GREEN x=370 y=292 dx=-0.09987169455774997 dy=0.005064052346046443 clicks=0 score=0, 
1.245, 0, Clicked: GREEN, x=299,  y=312,  BLUE: x=530,  y=514,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=0,  score=0, RED: x=190,  y=182,  dx=0.09479895037977487,  dy=0.031830158763238706,  clicks=0,  score=0, DARK_GREEN: x=296,  y=296,  dx=-0.09987169455774997,  dy=0.005064052346046443,  clicks=1,  score=1,
1.4140000000000001, 1, Clicked: GREEN, x=299,  y=311,  BLUE: x=535,  y=505,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=0,  score=0, RED: x=199,  y=186,  dx=0.09479895037977487,  dy=0.031830158763238706,  clicks=0,  score=0, DARK_GREEN: x=286,  y=297,  dx=-0.09987169455774997,  dy=0.005064052346046443,  clicks=2,  score=1,
1.991, 1, Clicked: RED, x=278,  y=206,  BLUE: x=554,  y=477,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=0,  score=0, DARK_RED: x=224,  y=181,  dx=0.04664665471589183,  dy=-0.06660758854034901,  clicks=1,  score=1, GREEN: x=260,  y=314,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
2.092, 2, Clicked: RED, x=278,  y=205,  BLUE: x=557,  y=472,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=0,  score=0, DARK_RED: x=227,  y=177,  dx=0.04664665471589183,  dy=-0.06660758854034901,  clicks=2,  score=1, GREEN: x=257,  y=320,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
2.7609999999999997, 2, Clicked: BLUE, x=608,  y=451,  DARK_BLUE: x=579,  y=438,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=1,  score=1, RED: x=245,  y=169,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=236,  y=362,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
2.8939999999999997, 3, Clicked: BLUE, x=608,  y=451,  DARK_BLUE: x=583,  y=431,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=2,  score=1, RED: x=249,  y=174,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=232,  y=370,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
2.9949999999999997, 3, Clicked: BLUE, x=608,  y=450,  DARK_BLUE: x=586,  y=426,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=3,  score=1, RED: x=252,  y=178,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=229,  y=376,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
3.1279999999999997, 3, Clicked: BLUE, x=608,  y=444,  DARK_BLUE: x=591,  y=419,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=4,  score=1, RED: x=256,  y=183,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=225,  y=384,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
3.262, 3, Clicked: BLUE, x=622,  y=413,  DARK_BLUE: x=595,  y=413,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=5,  score=1, RED: x=259,  y=189,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=221,  y=393,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
3.4999999999999996, 3, Clicked: BLUE, x=623,  y=410,  DARK_BLUE: x=602,  y=401,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=6,  score=1, RED: x=266,  y=198,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=214,  y=407,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
3.6359999999999997, 3, Clicked: BLUE, x=623,  y=407,  DARK_BLUE: x=607,  y=394,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=7,  score=1, RED: x=270,  y=203,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=209,  y=416,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
3.738, 3, Clicked: BLUE, x=623,  y=407,  DARK_BLUE: x=610,  y=389,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=8,  score=1, RED: x=272,  y=207,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=206,  y=422,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
3.874, 3, Clicked: BLUE, x=623,  y=407,  DARK_BLUE: x=614,  y=382,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, RED: x=276,  y=213,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=2,  score=1, GREEN: x=202,  y=430,  dx=-0.051719398893866925,  dy=0.10350179964963416,  clicks=2,  score=1,
7.4, 4, Clicked: RED, x=362,  y=367,  BLUE: x=728,  y=206,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=374,  y=353,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=3,  score=2, GREEN: x=225,  y=593,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
7.533000000000001, 5, Clicked: RED, x=364,  y=370,  BLUE: x=732,  y=199,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=378,  y=358,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=4,  score=2, GREEN: x=229,  y=584,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
7.699, 5, Clicked: RED, x=367,  y=372,  BLUE: x=738,  y=190,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=382,  y=365,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=5,  score=2, GREEN: x=234,  y=574,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
7.799000000000001, 5, Clicked: RED, x=378,  y=375,  BLUE: x=741,  y=185,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=385,  y=369,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=6,  score=2, GREEN: x=237,  y=568,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
7.898, 5, Clicked: RED, x=386,  y=384,  BLUE: x=744,  y=180,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=388,  y=373,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=7,  score=2, GREEN: x=240,  y=562,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.031, 5, Clicked: RED, x=393,  y=392,  BLUE: x=748,  y=174,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=392,  y=378,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=8,  score=2, GREEN: x=244,  y=553,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.165000000000001, 5, Clicked: RED, x=393,  y=393,  BLUE: x=753,  y=167,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=396,  y=383,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=9,  score=2, GREEN: x=248,  y=545,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.299000000000001, 5, Clicked: RED, x=421,  y=433,  BLUE: x=757,  y=160,  dx=0.05402515145373826,  dy=-0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=399,  y=389,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=10,  score=2, GREEN: x=253,  y=537,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.432, 5, Clicked: RED, x=421,  y=433,  BLUE: x=761,  y=165,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=403,  y=394,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=11,  score=3, GREEN: x=257,  y=528,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
8.533000000000001, 6, Clicked: RED, x=421,  y=433,  BLUE: x=765,  y=170,  dx=0.05402515145373826,  dy=0.08415035953815435,  clicks=9,  score=2, DARK_RED: x=406,  y=398,  dx=0.04664665471589183,  dy=0.06660758854034901,  clicks=12,  score=3, GREEN: x=260,  y=522,  dx=0.051719398893866925,  dy=-0.10350179964963416,  clicks=2,  score=1,
