Wed 31 Jan 2024, 12:41PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=1131 y=434 dx=0.09688459782749238 dy=0.024766402722338553 clicks=0 score=0, RED x=878 y=362 dx=-0.056735217507828985 dy=-0.08234752634013566 clicks=0 score=0, GREEN x=144 y=653 dx=-0.050536393884098946 dy=0.08629063039050767 clicks=0 score=0, 
5.771, 0, Clicked: BLUE, x=1427,  y=508,  DARK_BLUE: x=1403,  y=503,  dx=0.09688459782749238,  dy=0.024766402722338553,  clicks=1,  score=1, RED: x=719,  y=187,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=0,  score=0, GREEN: x=300,  y=380,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
5.905, 1, Clicked: BLUE, x=1427,  y=508,  DARK_BLUE: x=1410,  y=505,  dx=0.09688459782749238,  dy=0.024766402722338553,  clicks=2,  score=1, RED: x=714,  y=194,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=0,  score=0, GREEN: x=304,  y=373,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
6.071000000000001, 1, Clicked: BLUE, x=1427,  y=508,  DARK_BLUE: x=1420,  y=507,  dx=0.09688459782749238,  dy=0.024766402722338553,  clicks=3,  score=1, RED: x=709,  y=202,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=0,  score=0, GREEN: x=309,  y=364,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
6.172999999999999, 1, Clicked: BLUE, x=1427,  y=508,  DARK_BLUE: x=1426,  y=509,  dx=0.09688459782749238,  dy=0.024766402722338553,  clicks=4,  score=1, RED: x=705,  y=207,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=0,  score=0, GREEN: x=312,  y=359,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
6.3069999999999995, 1, Clicked: BLUE, x=1427,  y=508,  DARK_BLUE: x=1434,  y=511,  dx=0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, RED: x=701,  y=214,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=0,  score=0, GREEN: x=316,  y=352,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
6.9159999999999995, 1, Clicked: RED, x=714,  y=266,  BLUE: x=1452,  y=520,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, DARK_RED: x=680,  y=243,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=1,  score=1, GREEN: x=334,  y=321,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
7.0520000000000005, 2, Clicked: RED, x=714,  y=266,  BLUE: x=1444,  y=522,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, DARK_RED: x=676,  y=250,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=2,  score=1, GREEN: x=338,  y=314,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
7.29, 2, Clicked: RED, x=689,  y=273,  BLUE: x=1430,  y=525,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, DARK_RED: x=668,  y=262,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=3,  score=1, GREEN: x=345,  y=302,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
7.425999999999999, 2, Clicked: RED, x=679,  y=281,  BLUE: x=1423,  y=527,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, DARK_RED: x=663,  y=268,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=4,  score=1, GREEN: x=350,  y=295,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
7.594, 2, Clicked: RED, x=634,  y=304,  BLUE: x=1413,  y=530,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, DARK_RED: x=658,  y=276,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=5,  score=1, GREEN: x=355,  y=286,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
7.694, 2, Clicked: RED, x=632,  y=304,  BLUE: x=1407,  y=531,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, DARK_RED: x=654,  y=281,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=6,  score=1, GREEN: x=358,  y=281,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
7.794999999999999, 2, Clicked: RED, x=631,  y=304,  BLUE: x=1401,  y=533,  dx=-0.09688459782749238,  dy=0.024766402722338553,  clicks=5,  score=1, DARK_RED: x=651,  y=286,  dx=-0.056735217507828985,  dy=0.08234752634013566,  clicks=7,  score=1, GREEN: x=361,  y=276,  dx=0.050536393884098946,  dy=-0.08629063039050767,  clicks=0,  score=0,
