Fri 02 Feb 2024, 09:17PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, BLUE x=841 y=626 dx=0.09919994584787178 dy=0.012624212600368629 clicks=0 score=0, RED x=665 y=323 dx=-0.033611487525881625 dy=-0.09418209971272411 clicks=0 score=0, GREEN x=544 y=363 dx=0.031525487372278733 dy=-0.09490070413827442 clicks=0 score=0, 
1.0420000000000003, 0, Clicked: RED, x=703,  y=210,  BLUE: x=903,  y=612,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, DARK_RED: x=673,  y=255,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=1,  score=1, GREEN: x=535,  y=314,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=0,  score=0,
1.2099999999999995, 1, Clicked: RED, x=700,  y=209,  BLUE: x=913,  y=611,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, DARK_RED: x=675,  y=243,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=2,  score=1, GREEN: x=532,  y=307,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=0,  score=0,
1.3109999999999995, 1, Clicked: RED, x=699,  y=209,  BLUE: x=919,  y=610,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, DARK_RED: x=677,  y=236,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=3,  score=1, GREEN: x=531,  y=302,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=0,  score=0,
1.4439999999999995, 1, Clicked: RED, x=699,  y=209,  BLUE: x=927,  y=609,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, DARK_RED: x=679,  y=227,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=4,  score=1, GREEN: x=528,  y=296,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=0,  score=0,
1.5790000000000002, 1, Clicked: RED, x=699,  y=209,  BLUE: x=935,  y=608,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, DARK_RED: x=681,  y=218,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=5,  score=1, GREEN: x=526,  y=290,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=0,  score=0,
1.7150000000000003, 1, Clicked: RED, x=699,  y=209,  BLUE: x=943,  y=607,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, DARK_RED: x=683,  y=209,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=6,  score=1, GREEN: x=524,  y=284,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=0,  score=0,
1.783, 1, Clicked: RED, x=699,  y=209,  BLUE: x=946,  y=606,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, DARK_RED: x=684,  y=204,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=7,  score=1, GREEN: x=523,  y=281,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=0,  score=0,
2.2870000000000004, 1, Clicked: GREEN, x=494,  y=290,  BLUE: x=976,  y=603,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, RED: x=691,  y=170,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=7,  score=1, DARK_GREEN: x=515,  y=259,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=1,  score=1,
2.421, 2, Clicked: GREEN, x=500,  y=259,  BLUE: x=984,  y=602,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, RED: x=693,  y=161,  dx=0.024600661289320966,  dy=-0.11462219136567416,  clicks=7,  score=1, DARK_GREEN: x=513,  y=253,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=2,  score=1,
2.5559999999999996, 2, Clicked: GREEN, x=501,  y=252,  BLUE: x=992,  y=601,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, RED: x=695,  y=166,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, DARK_GREEN: x=511,  y=247,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=3,  score=1,
2.655, 2, Clicked: GREEN, x=501,  y=251,  BLUE: x=998,  y=600,  dx=0.09919994584787178,  dy=-0.012624212600368629,  clicks=0,  score=0, RED: x=696,  y=173,  dx=0.024600661289320966,  dy=0.11462219136567416,  clicks=7,  score=1, DARK_GREEN: x=509,  y=243,  dx=-0.026686661442923858,  dy=-0.07446061248532437,  clicks=4,  score=1,
