Thu 07 Mar 2024, 09:18PM
################# Phase 1 ######################
################# INIT particles ######################
4.018, Init stimuli, 0, RED x=1513 y=728 dx=0.11915797214436422 dy=0.10120728694195714 clicks=0 score=0, ORANGE x=909 y=917 dx=0.1158384368350086 dy=0.11513505628754617 clicks=0 score=0, YELLOW x=785 y=464 dx=0.11376133843771667 dy=0.10897175134766306 clicks=0 score=0,  RED: x=1513,  y=728,  dx=0.11915797214436422,  dy=0.10120728694195714,  clicks=0,  score=0, ORANGE: x=909,  y=917,  dx=0.1158384368350086,  dy=0.11513505628754617,  clicks=0,  score=0, YELLOW: x=785,  y=464,  dx=0.11376133843771667,  dy=0.10897175134766306,  clicks=0,  score=0,
3.739, 0, Clicked: None, x=1414, y=277,  RED: x=1471,  y=656,  dx=-0.11915797214436422,  dy=-0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1430,  y=406,  dx=0.1158384368350086,  dy=-0.11513505628754617,  clicks=0,  score=0, YELLOW: x=1297,  y=885,  dx=0.11376133843771667,  dy=-0.10897175134766306,  clicks=0,  score=0,
5.255, 0, Clicked: ORANGE, x=1645,  y=191,  RED: x=1252,  y=470,  dx=-0.11915797214436422,  dy=-0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1643,  y=194,  dx=0.1158384368350086,  dy=-0.11513505628754617,  clicks=1,  score=1, YELLOW: x=1506,  y=684,  dx=0.11376133843771667,  dy=-0.10897175134766306,  clicks=0,  score=0,
5.39, 1, Clicked: ORANGE, x=1645,  y=191,  RED: x=1233,  y=454,  dx=-0.11915797214436422,  dy=-0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1662,  y=176,  dx=0.1158384368350086,  dy=-0.11513505628754617,  clicks=2,  score=2, YELLOW: x=1525,  y=667,  dx=0.11376133843771667,  dy=-0.10897175134766306,  clicks=0,  score=0,
5.5249999999999995, 2, Clicked: ORANGE, x=1645,  y=191,  RED: x=1214,  y=438,  dx=-0.11915797214436422,  dy=-0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1680,  y=160,  dx=0.1158384368350086,  dy=0.11513505628754617,  clicks=3,  score=3, YELLOW: x=1543,  y=649,  dx=0.11376133843771667,  dy=-0.10897175134766306,  clicks=0,  score=0,
7.685999999999999, 3, Clicked: ORANGE, x=1517,  y=469,  RED: x=902,  y=173,  dx=-0.11915797214436422,  dy=-0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1537,  y=461,  dx=-0.1158384368350086,  dy=0.11513505628754617,  clicks=4,  score=4, YELLOW: x=1680,  y=364,  dx=-0.11376133843771667,  dy=-0.10897175134766306,  clicks=0,  score=0,
7.8340000000000005, 4, Clicked: ORANGE, x=1517,  y=468,  RED: x=880,  y=164,  dx=-0.11915797214436422,  dy=0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1516,  y=482,  dx=-0.1158384368350086,  dy=0.11513505628754617,  clicks=5,  score=5, YELLOW: x=1659,  y=344,  dx=-0.11376133843771667,  dy=-0.10897175134766306,  clicks=0,  score=0,
7.9479999999999995, 5, Clicked: ORANGE, x=1517,  y=468,  RED: x=863,  y=178,  dx=-0.11915797214436422,  dy=0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1500,  y=498,  dx=-0.1158384368350086,  dy=0.11513505628754617,  clicks=6,  score=6, YELLOW: x=1643,  y=329,  dx=-0.11376133843771667,  dy=-0.10897175134766306,  clicks=0,  score=0,
8.261, 6, Clicked: YELLOW, x=1595,  y=301,  RED: x=818,  y=216,  dx=-0.11915797214436422,  dy=0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1456,  y=542,  dx=-0.1158384368350086,  dy=0.11513505628754617,  clicks=6,  score=6, YELLOW: x=1600,  y=287,  dx=-0.11376133843771667,  dy=-0.10897175134766306,  clicks=1,  score=0,
8.425999999999998, 6, Clicked: YELLOW, x=1586,  y=288,  RED: x=794,  y=236,  dx=-0.11915797214436422,  dy=0.10120728694195714,  clicks=0,  score=0, ORANGE: x=1433,  y=565,  dx=-0.1158384368350086,  dy=0.11513505628754617,  clicks=6,  score=6, YELLOW: x=1577,  y=266,  dx=-0.11376133843771667,  dy=-0.10897175134766306,  clicks=2,  score=0,
################# Phase 2 ######################
################# INIT particles ######################
14.041, Init stimuli, 6, RED x=206 y=464 dx=0.11999892357227013 dy=0.10108384408267973 clicks=0 score=0, ORANGE x=306 y=127 dx=0.10958032062156242 dy=0.10830670217098975 clicks=0 score=0, YELLOW x=1050 y=235 dx=0.11664360871806861 dy=0.10091757521011037 clicks=0 score=0,  RED: x=206,  y=464,  dx=0.11999892357227013,  dy=0.10108384408267973,  clicks=0,  score=0, ORANGE: x=306,  y=127,  dx=0.10958032062156242,  dy=0.10830670217098975,  clicks=0,  score=0, YELLOW: x=1050,  y=235,  dx=0.11664360871806861,  dy=0.10091757521011037,  clicks=0,  score=0,
